seed: 2484284576

iter	duration	log_likelihood	delta-lle
0	2.396031	-4.4178255225916453e+07
1	18.423192	-3.9338467903215468e+07	4.8397873227009848e+06
2	17.730643	-3.4797264348315597e+07	4.5412035548998713e+06
3	17.554877	-3.3987898007252410e+07	8.0936634106318653e+05
4	17.161112	-3.3387054241760861e+07	6.0084376549154893e+05
5	17.204817	-3.2836669395868886e+07	5.5038484589197487e+05
6	17.025065	-3.2294093936690751e+07	5.4257545917813480e+05
7	17.232473	-3.1746293135281887e+07	5.4780080140886456e+05
8	16.884153	-3.1208524791704979e+07	5.3776834357690811e+05
9	16.787227	-3.0680361002407216e+07	5.2816378929776326e+05
10	16.569377	-3.0158473597024068e+07	5.2188740538314730e+05
11	16.446760	-2.9651882449385084e+07	5.0659114763898402e+05
12	16.418334	-2.9182855077935424e+07	4.6902737144966051e+05
13	16.435231	-2.8779085369315628e+07	4.0376970861979574e+05
14	16.076299	-2.8471150077771887e+07	3.0793529154374078e+05
15	15.971471	-2.8278652057229031e+07	1.9249802054285631e+05
16	15.832979	-2.8191225123065311e+07	8.7426934163719416e+04
17	15.775254	-2.8160767272907577e+07	3.0457850157734007e+04
18	15.710356	-2.8148331145565193e+07	1.2436127342384309e+04
19	15.691258	-2.8141197492497895e+07	7.1336530672982335e+03
20	15.560366	-2.8136299398033027e+07	4.8980944648683071e+03
21	15.631173	-2.8132179779615082e+07	4.1196184179447591e+03
22	15.412852	-2.8129025187076598e+07	3.1545925384834409e+03
23	15.147062	-2.8126646432900183e+07	2.3787541764155030e+03
24	15.029424	-2.8124752442540027e+07	1.8939903601557016e+03
25	14.985450	-2.8123298929563511e+07	1.4535129765160382e+03
26	14.949699	-2.8122058942709878e+07	1.2399868536330760e+03
27	14.951176	-2.8120732339049302e+07	1.3266036605760455e+03
28	14.869338	-2.8119535974970471e+07	1.1963640788309276e+03
29	14.975206	-2.8118452241031770e+07	1.0837339387014508e+03
30	14.854185	-2.8117610789467748e+07	8.4145156402140856e+02
31	14.846266	-2.8116681253577925e+07	9.2953588982298970e+02
32	14.814021	-2.8115820617773496e+07	8.6063580442965031e+02
33	14.853481	-2.8115015181985416e+07	8.0543578808009624e+02
34	14.824851	-2.8114362849877354e+07	6.5233210806176066e+02
35	14.853817	-2.8113509265483972e+07	8.5358439338207245e+02
36	14.833737	-2.8113008085281204e+07	5.0118020276725292e+02
37	14.793006	-2.8112166812684797e+07	8.4127259640768170e+02
38	14.757478	-2.8111555826597270e+07	6.1098608752712607e+02
39	14.704769	-2.8110705291806683e+07	8.5053479058668017e+02
40	14.772669	-2.8110261589100424e+07	4.4370270625874400e+02
41	14.945952	-2.8109362094509151e+07	8.9949459127336740e+02
42	14.756604	-2.8108412269735135e+07	9.4982477401569486e+02
43	14.744548	-2.8107676904735427e+07	7.3536499970778823e+02
44	14.671062	-2.8106707009807527e+07	9.6989492790028453e+02
45	14.671115	-2.8105713210731201e+07	9.9379907632619143e+02
46	14.630942	-2.8104773038083188e+07	9.4017264801263809e+02
47	14.695606	-2.8103649411442567e+07	1.1236266406215727e+03
48	14.626042	-2.8102396344239831e+07	1.2530672027356923e+03
49	14.586826	-2.8100770883528072e+07	1.6254607117585838e+03
50	14.591908	-2.8098780324733641e+07	1.9905587944313884e+03
51	14.522350	-2.8096449714719851e+07	2.3306100137904286e+03
52	14.500041	-2.8101758339021213e+07	-5.3086243013627827e+03
53	14.600159	-2.8097790333958343e+07	3.9680050628706813e+03
54	14.538114	-2.8095080159508377e+07	2.7101744499653578e+03
55	14.649318	-2.8092683148711924e+07	2.3970107964538038e+03
56	14.578131	-2.8090088400333956e+07	2.5947483779676259e+03
57	14.643781	-2.8085286686307620e+07	4.8017140263356268e+03
58	14.657460	-2.8080893197791848e+07	4.3934885157719254e+03
59	14.597742	-2.8078168457078211e+07	2.7247407136373222e+03
60	14.553799	-2.8075982706474975e+07	2.1857506032362580e+03
61	14.711503	-2.8074083161238477e+07	1.8995452364981174e+03
62	14.651301	-2.8073228162262302e+07	8.5499897617474198e+02
63	14.677202	-2.8085149587030940e+07	-1.1921424768637866e+04
64	14.589737	-2.8083600911142185e+07	1.5486758887544274e+03
65	14.602269	-2.8082771923081178e+07	8.2898806100711226e+02
66	14.634723	-2.8082339007537223e+07	4.3291554395481944e+02
67	14.634462	-2.8081694832757510e+07	6.4417477971315384e+02
68	14.564071	-2.8077432162556909e+07	4.2626702006012201e+03
69	14.570261	-2.8073296716834895e+07	4.1354457220137119e+03
70	14.618888	-2.8071912655934032e+07	1.3840609008632600e+03
71	14.660393	-2.8071393449249320e+07	5.1920668471232057e+02
72	14.612834	-2.8071160283879489e+07	2.3316536983102560e+02
73	14.613941	-2.8071621032943826e+07	-4.6074906433746219e+02
74	14.547291	-2.8084527283845652e+07	-1.2906250901825726e+04
75	14.563270	-2.8083214755273137e+07	1.3125285725146532e+03
76	14.554138	-2.8082514881102119e+07	6.9987417101860046e+02
77	14.577484	-2.8082015390517440e+07	4.9949058467894793e+02
78	14.509038	-2.8080980787343599e+07	1.0346031738407910e+03
79	14.611627	-2.8076365046160027e+07	4.6157411835715175e+03
80	14.656502	-2.8072609757883377e+07	3.7552882766500115e+03
81	14.634554	-2.8071509095204070e+07	1.1006626793071628e+03
82	14.717013	-2.8071074598380778e+07	4.3449682329222560e+02
83	14.576343	-2.8070762627908874e+07	3.1197047190368176e+02
84	14.660838	-2.8071103096763350e+07	-3.4046885447576642e+02
85	14.644890	-2.8087967213377189e+07	-1.6864116613838822e+04
86	14.623676	-2.8086406894806530e+07	1.5603185706585646e+03
87	14.576842	-2.8085591746969007e+07	8.1514783752337098e+02
88	14.611830	-2.8084918218934532e+07	6.7352803447470069e+02
89	14.602545	-2.8084156528378837e+07	7.6169055569544435e+02
90	14.562361	-2.8079245990988426e+07	4.9105373904109001e+03
91	14.624511	-2.8073388148676116e+07	5.8578423123098910e+03
92	14.567117	-2.8071512785725780e+07	1.8753629503361881e+03
93	14.623184	-2.8070975686959073e+07	5.3709876670688391e+02
94	14.532429	-2.8070633883356411e+07	3.4180360266193748e+02
95	14.659747	-2.8070950983485565e+07	-3.1710012915357947e+02
96	14.625880	-2.8083919347230300e+07	-1.2968363744735718e+04
97	14.613984	-2.8082744499672428e+07	1.1748475578725338e+03
98	14.521787	-2.8082161332419280e+07	5.8316725314781070e+02
99	14.507684	-2.8081614782981507e+07	5.4654943777248263e+02
100	14.497605	-2.8080768226212304e+07	8.4655676920339465e+02
101	14.525310	-2.8076411863476384e+07	4.3563627359196544e+03
102	14.674048	-2.8072229656165678e+07	4.1822073107063770e+03
103	14.718384	-2.8071013879842650e+07	1.2157763230279088e+03
104	14.661558	-2.8070555820935290e+07	4.5805890735983849e+02
