iter	duration	delta-lle	log-likelihood
1	0.044589	0.0000000000000000e+00	2.7598614102059859e+04
2	0.020632	0.0000000000000000e+00	2.7598614102059859e+04
3	0.020521	0.0000000000000000e+00	2.7598614102059859e+04
4	0.020555	0.0000000000000000e+00	2.7598614102059859e+04
5	0.020559	0.0000000000000000e+00	2.7598614102059859e+04
6	0.020943	0.0000000000000000e+00	2.7598614102059859e+04
7	0.020765	0.0000000000000000e+00	2.7598614102059859e+04
8	0.020607	0.0000000000000000e+00	2.7598614102059859e+04
9	0.020536	0.0000000000000000e+00	2.7598614102059859e+04
10	0.020546	0.0000000000000000e+00	2.7598614102059859e+04
11	0.020547	3.3866116712703370e+03	3.0985225773330196e+04
12	0.020553	6.0129502822830575e+04	9.1114728596160770e+04
13	0.020659	0.0000000000000000e+00	9.1114728596160770e+04
14	0.020997	0.0000000000000000e+00	9.1114728596160770e+04
15	0.020587	0.0000000000000000e+00	9.1114728596160770e+04
16	0.020575	0.0000000000000000e+00	9.1114728596160770e+04
17	0.020563	0.0000000000000000e+00	9.1114728596160770e+04
18	0.020541	0.0000000000000000e+00	9.1114728596160770e+04
19	0.020535	0.0000000000000000e+00	9.1114728596160770e+04
20	0.020606	0.0000000000000000e+00	9.1114728596160770e+04
21	0.020528	0.0000000000000000e+00	9.1114728596160770e+04
22	0.020561	1.8047939724320313e+03	9.2919522568592802e+04
23	0.020566	2.0255970595040126e+03	9.4945119628096814e+04
24	0.020538	0.0000000000000000e+00	9.4945119628096814e+04
25	0.020775	1.7799092574191745e+03	9.6725028885515989e+04
26	0.024020	2.5185558276224765e+03	9.9243584713138465e+04
27	0.023495	1.3751968606066715e+04	1.1299555331920518e+05
28	0.023661	3.6998209631635109e+02	1.1336553541552153e+05
29	0.023624	1.7606875618871418e+03	1.1512622297740867e+05
30	0.026690	0.0000000000000000e+00	1.1512622297740867e+05
31	0.026392	6.6498947977228090e+02	1.1579121245718095e+05
32	0.026416	9.8406083361303899e+02	1.1677527329079399e+05
33	0.026714	1.5657193413062487e+01	1.1679093048420706e+05
34	0.003033	0.0000000000000000e+00	1.1679093048420706e+05
35	0.029874	1.3208105750150862e+03	1.1811174105922214e+05
36	0.029348	0.0000000000000000e+00	1.1811174105922214e+05
37	0.029410	6.0584203725872794e+02	1.1871758309648087e+05
38	0.029316	6.4497082844865508e+03	1.2516729138096742e+05
39	0.029485	5.5293179269036045e+02	1.2572022317365778e+05
40	0.029360	9.6524763677734882e+01	1.2581674793733552e+05
41	0.032244	7.2523041748011019e+02	1.2654197835481563e+05
42	0.032499	0.0000000000000000e+00	1.2654197835481563e+05
43	0.035390	3.5627400682930602e+02	1.2689825236164493e+05
44	0.035270	4.5286017917993013e+02	1.2735111254082486e+05
45	0.035248	3.5502456039167591e+03	1.3090135814474162e+05
46	0.035227	2.2983905881055398e+02	1.3113119720355218e+05
47	0.035588	2.8951848638686351e+02	1.3142071568993904e+05
48	0.038158	1.8688527925388189e+02	1.3160760096919292e+05
49	0.041425	9.6294349861843511e+02	1.3257054446781136e+05
50	0.002974	0.0000000000000000e+00	1.3257054446781136e+05
51	0.047220	4.8362339190498460e+02	1.3305416785971634e+05
52	0.002970	0.0000000000000000e+00	1.3305416785971634e+05
53	0.002969	0.0000000000000000e+00	1.3305416785971634e+05
54	0.056221	2.0443165649452712e+03	1.3509848442466161e+05
55	0.055753	2.5038482036086498e+02	1.3534886924502248e+05
56	0.055840	6.9507346154382685e+02	1.3604394270656630e+05
57	0.055788	8.2507577008451335e+01	1.3612645028357476e+05
58	0.056163	3.8595721046027029e+02	1.3651240749403503e+05
59	0.055903	1.5213079166522948e+03	1.3803371541068732e+05
60	0.058980	4.5882774306088686e+02	1.3849254315374821e+05
61	0.059431	0.0000000000000000e+00	1.3849254315374821e+05
62	0.058845	3.5476614161080215e+02	1.3884730929535901e+05
63	0.058690	7.3031951103929896e+02	1.3957762880639831e+05
64	0.058670	5.8617017212940846e+02	1.4016379897852772e+05
65	0.058862	1.6135269723547390e+02	1.4032515167576319e+05
66	0.061960	3.6269780558941420e+02	1.4068784948135260e+05
67	0.062141	7.9931576854153536e+02	1.4148716524989414e+05
68	0.065082	6.0844156445935369e+01	1.4154800940634008e+05
69	0.064792	2.4440994956728537e+02	1.4179241935590736e+05
70	0.002942	0.0000000000000000e+00	1.4179241935590736e+05
71	0.002937	0.0000000000000000e+00	1.4179241935590736e+05
72	0.071274	2.7784288414119510e+02	1.4207026224004856e+05
73	0.070458	4.2310181414452381e+02	1.4249336405419308e+05
74	0.070452	1.8351750394073315e+02	1.4267688155813381e+05
75	0.070522	4.0238091477798298e+02	1.4307926247291180e+05
76	0.073856	7.7990321665938245e+02	1.4385916568957118e+05
77	0.073746	2.4626133588567609e+02	1.4410542702545685e+05
78	0.002945	0.0000000000000000e+00	1.4410542702545685e+05
79	0.002936	0.0000000000000000e+00	1.4410542702545685e+05
80	0.002936	0.0000000000000000e+00	1.4410542702545685e+05
81	0.002934	0.0000000000000000e+00	1.4410542702545685e+05
82	0.002935	0.0000000000000000e+00	1.4410542702545685e+05
83	0.002935	0.0000000000000000e+00	1.4410542702545685e+05
84	0.002936	0.0000000000000000e+00	1.4410542702545685e+05
85	0.002937	0.0000000000000000e+00	1.4410542702545685e+05
86	0.002934	0.0000000000000000e+00	1.4410542702545685e+05
87	0.002934	0.0000000000000000e+00	1.4410542702545685e+05
88	0.002937	0.0000000000000000e+00	1.4410542702545685e+05
89	0.002936	0.0000000000000000e+00	1.4410542702545685e+05
90	0.002938	0.0000000000000000e+00	1.4410542702545685e+05
91	0.002939	0.0000000000000000e+00	1.4410542702545685e+05
92	0.002960	0.0000000000000000e+00	1.4410542702545685e+05
93	0.002957	0.0000000000000000e+00	1.4410542702545685e+05
94	0.002939	0.0000000000000000e+00	1.4410542702545685e+05
95	0.002935	0.0000000000000000e+00	1.4410542702545685e+05
96	0.002939	0.0000000000000000e+00	1.4410542702545685e+05
97	0.002948	0.0000000000000000e+00	1.4410542702545685e+05
98	0.002938	0.0000000000000000e+00	1.4410542702545685e+05
99	0.002936	0.0000000000000000e+00	1.4410542702545685e+05
100	0.003021	0.0000000000000000e+00	1.4410542702545685e+05
101	0.003074	0.0000000000000000e+00	1.4410542702545685e+05
102	0.003010	0.0000000000000000e+00	1.4410542702545685e+05
103	0.002977	0.0000000000000000e+00	1.4410542702545685e+05
104	0.002935	0.0000000000000000e+00	1.4410542702545685e+05
105	0.002972	0.0000000000000000e+00	1.4410542702545685e+05
106	0.003036	0.0000000000000000e+00	1.4410542702545685e+05
107	0.003001	0.0000000000000000e+00	1.4410542702545685e+05
108	0.002937	0.0000000000000000e+00	1.4410542702545685e+05
109	0.002935	0.0000000000000000e+00	1.4410542702545685e+05
110	0.002935	0.0000000000000000e+00	1.4410542702545685e+05
111	0.002934	0.0000000000000000e+00	1.4410542702545685e+05
112	0.002937	0.0000000000000000e+00	1.4410542702545685e+05
113	0.002934	0.0000000000000000e+00	1.4410542702545685e+05
114	0.002934	0.0000000000000000e+00	1.4410542702545685e+05
115	0.002931	0.0000000000000000e+00	1.4410542702545685e+05
116	0.002945	0.0000000000000000e+00	1.4410542702545685e+05
117	0.002941	0.0000000000000000e+00	1.4410542702545685e+05
118	0.002936	0.0000000000000000e+00	1.4410542702545685e+05
119	0.002946	0.0000000000000000e+00	1.4410542702545685e+05
120	0.002937	0.0000000000000000e+00	1.4410542702545685e+05
121	0.002946	0.0000000000000000e+00	1.4410542702545685e+05
122	0.002949	0.0000000000000000e+00	1.4410542702545685e+05
123	0.005915	0.0000000000000000e+00	1.4410542702545685e+05
124	0.002937	0.0000000000000000e+00	1.4410542702545685e+05
