iter	duration	delta-lle	log-likelihood
1	0.008127	0.0000000000000000e+00	5.1841656537822331e+04
2	0.003244	6.3981135618394183e+03	5.8239770099661750e+04
3	0.003255	0.0000000000000000e+00	5.8239770099661750e+04
4	0.003314	0.0000000000000000e+00	5.8239770099661750e+04
5	0.003259	0.0000000000000000e+00	5.8239770099661750e+04
6	0.003196	0.0000000000000000e+00	5.8239770099661750e+04
7	0.001070	0.0000000000000000e+00	5.8239770099661750e+04
8	0.001067	0.0000000000000000e+00	5.8239770099661750e+04
9	0.005332	5.6942653737231740e+02	5.8809196637034067e+04
10	0.005353	8.4613258193260117e+02	5.9655329218966668e+04
11	0.005339	3.2863193002037151e+03	6.2941648519170383e+04
12	0.001068	0.0000000000000000e+00	6.2941648519170383e+04
13	0.001069	0.0000000000000000e+00	6.2941648519170383e+04
14	0.001069	0.0000000000000000e+00	6.2941648519170383e+04
15	0.001062	0.0000000000000000e+00	6.2941648519170383e+04
16	0.001064	0.0000000000000000e+00	6.2941648519170383e+04
17	0.001070	0.0000000000000000e+00	6.2941648519170383e+04
18	0.001071	1.8498045772389451e+03	6.4791453096409328e+04
19	0.001068	1.0887476548293489e+02	6.4900327861892263e+04
20	0.002131	0.0000000000000000e+00	6.4900327861892263e+04
21	0.002137	0.0000000000000000e+00	6.4900327861892263e+04
22	0.001067	0.0000000000000000e+00	6.4900327861892263e+04
23	0.002129	1.1249745173703996e+03	6.6025302379262663e+04
24	0.001065	0.0000000000000000e+00	6.6025302379262663e+04
25	0.002200	2.2680900367031863e+03	6.8293392415965849e+04
26	0.002136	0.0000000000000000e+00	6.8293392415965849e+04
27	0.002131	0.0000000000000000e+00	6.8293392415965849e+04
28	0.002136	0.0000000000000000e+00	6.8293392415965849e+04
29	0.001068	0.0000000000000000e+00	6.8293392415965849e+04
30	0.001066	0.0000000000000000e+00	6.8293392415965849e+04
31	0.002143	0.0000000000000000e+00	6.8293392415965849e+04
32	0.001070	0.0000000000000000e+00	6.8293392415965849e+04
33	0.002189	0.0000000000000000e+00	6.8293392415965849e+04
34	0.001070	0.0000000000000000e+00	6.8293392415965849e+04
35	0.002130	0.0000000000000000e+00	6.8293392415965849e+04
36	0.002131	0.0000000000000000e+00	6.8293392415965849e+04
37	0.002135	6.6591146664257394e+01	6.8359983562630106e+04
38	0.001064	0.0000000000000000e+00	6.8359983562630106e+04
39	0.002146	1.2926099328321288e+02	6.8489244555913319e+04
40	0.002122	2.4961425380155561e+01	6.8514205981293475e+04
41	0.002132	9.4490822604857385e+01	6.8608696803898332e+04
42	0.001070	0.0000000000000000e+00	6.8608696803898332e+04
43	0.002131	1.5082612739273463e+02	6.8759522931291067e+04
44	0.001071	2.6089771997196658e+02	6.9020420651263034e+04
45	0.001071	0.0000000000000000e+00	6.9020420651263034e+04
46	0.002132	0.0000000000000000e+00	6.9020420651263034e+04
47	0.002128	0.0000000000000000e+00	6.9020420651263034e+04
48	0.001060	0.0000000000000000e+00	6.9020420651263034e+04
49	0.002130	8.4666171680204570e+01	6.9105086822943238e+04
50	0.001068	0.0000000000000000e+00	6.9105086822943238e+04
51	0.002142	0.0000000000000000e+00	6.9105086822943238e+04
52	0.002160	0.0000000000000000e+00	6.9105086822943238e+04
53	0.002136	1.0936477035284042e+02	6.9214451593296078e+04
54	0.002135	1.4556857482966734e+00	6.9215907279044375e+04
55	0.002147	0.0000000000000000e+00	6.9215907279044375e+04
56	0.002149	0.0000000000000000e+00	6.9215907279044375e+04
57	0.002135	7.1715495981334243e+00	6.9223078828642509e+04
58	0.002134	1.6036647773435107e+00	6.9224682493419852e+04
59	0.002138	4.9275272331651649e+01	6.9273957765751504e+04
60	0.002154	1.0493378624829347e+01	6.9284451144376333e+04
61	0.001067	0.0000000000000000e+00	6.9284451144376333e+04
62	0.002135	1.7674439136171713e+01	6.9302125583512505e+04
63	0.002127	0.0000000000000000e+00	6.9302125583512505e+04
64	0.002156	4.6468163314551930e+01	6.9348593746827057e+04
65	0.002136	0.0000000000000000e+00	6.9348593746827057e+04
66	0.001070	0.0000000000000000e+00	6.9348593746827057e+04
67	0.002135	0.0000000000000000e+00	6.9348593746827057e+04
68	0.001070	0.0000000000000000e+00	6.9348593746827057e+04
69	0.002134	0.0000000000000000e+00	6.9348593746827057e+04
70	0.002130	0.0000000000000000e+00	6.9348593746827057e+04
71	0.001069	0.0000000000000000e+00	6.9348593746827057e+04
72	0.002201	0.0000000000000000e+00	6.9348593746827057e+04
73	0.001069	0.0000000000000000e+00	6.9348593746827057e+04
74	0.002131	1.7100407907346380e+01	6.9365694154734403e+04
75	0.002135	0.0000000000000000e+00	6.9365694154734403e+04
76	0.002135	0.0000000000000000e+00	6.9365694154734403e+04
77	0.002155	0.0000000000000000e+00	6.9365694154734403e+04
78	0.002134	0.0000000000000000e+00	6.9365694154734403e+04
79	0.002146	2.9491829257603968e+00	6.9368643337660164e+04
80	0.002137	1.3198509899666533e-01	6.9368775322759160e+04
81	0.002149	4.4388391224783845e+00	6.9373214161881639e+04
82	0.002166	2.3816644488688326e+00	6.9375595826330507e+04
83	0.002127	7.8537523868144490e+00	6.9383449578717322e+04
84	0.002130	0.0000000000000000e+00	6.9383449578717322e+04
85	0.002158	0.0000000000000000e+00	6.9383449578717322e+04
86	0.002139	0.0000000000000000e+00	6.9383449578717322e+04
87	0.002133	0.0000000000000000e+00	6.9383449578717322e+04
88	0.001077	0.0000000000000000e+00	6.9383449578717322e+04
89	0.001075	0.0000000000000000e+00	6.9383449578717322e+04
90	0.002142	0.0000000000000000e+00	6.9383449578717322e+04
91	0.002139	0.0000000000000000e+00	6.9383449578717322e+04
92	0.002152	0.0000000000000000e+00	6.9383449578717322e+04
93	0.001072	0.0000000000000000e+00	6.9383449578717322e+04
94	0.002133	0.0000000000000000e+00	6.9383449578717322e+04
95	0.001068	0.0000000000000000e+00	6.9383449578717322e+04
96	0.002131	1.2675909660174511e-02	6.9383462254626982e+04
97	0.002145	4.0929114534810651e-01	6.9383871545772330e+04
98	0.002126	1.7294802569667809e+00	6.9385601026029297e+04
99	0.002122	0.0000000000000000e+00	6.9385601026029297e+04
100	0.002127	0.0000000000000000e+00	6.9385601026029297e+04
101	0.002131	0.0000000000000000e+00	6.9385601026029297e+04
102	0.002134	0.0000000000000000e+00	6.9385601026029297e+04
103	0.002133	0.0000000000000000e+00	6.9385601026029297e+04
104	0.002140	6.8352665514976252e-01	6.9386284552684447e+04
105	0.001061	0.0000000000000000e+00	6.9386284552684447e+04
106	0.001070	0.0000000000000000e+00	6.9386284552684447e+04
107	0.001061	0.0000000000000000e+00	6.9386284552684447e+04
108	0.002130	7.3294401809107512e-03	6.9386291882124628e+04
109	0.002190	9.5209548468119465e-02	6.9386387091673096e+04
110	0.002135	0.0000000000000000e+00	6.9386387091673096e+04
111	0.002134	0.0000000000000000e+00	6.9386387091673096e+04
112	0.002133	6.9428874179720879e-02	6.9386456520547275e+04
113	0.002136	2.4962859271909110e-02	6.9386481483406547e+04
114	0.002131	2.3884004355932120e-01	6.9386720323450107e+04
115	0.002176	7.7193422010168433e-02	6.9386797516872117e+04
116	0.002130	0.0000000000000000e+00	6.9386797516872117e+04
117	0.002163	0.0000000000000000e+00	6.9386797516872117e+04
118	0.002137	0.0000000000000000e+00	6.9386797516872117e+04
119	0.002131	4.2955491007887758e-02	6.9386840472363125e+04
120	0.002135	0.0000000000000000e+00	6.9386840472363125e+04
121	0.002135	7.5938141861115582e-02	6.9386916410504986e+04
122	0.002135	7.8107032895786688e-03	6.9386924221208275e+04
123	0.001072	0.0000000000000000e+00	6.9386924221208275e+04
124	0.002140	2.5499440176645294e-02	6.9386949720648452e+04
125	0.002136	0.0000000000000000e+00	6.9386949720648452e+04
126	0.002130	1.6067046395619400e-02	6.9386965787694848e+04
127	0.002134	0.0000000000000000e+00	6.9386965787694848e+04
128	0.002163	2.7718179320800118e-02	6.9386993505874168e+04
129	0.002134	1.1018209450412542e-02	6.9387004524083619e+04
130	0.002137	2.5396214041393250e-03	6.9387007063705023e+04
131	0.002133	7.6575785205932334e-03	6.9387014721283544e+04
132	0.001068	0.0000000000000000e+00	6.9387014721283544e+04
133	0.002128	1.4625264986534603e-02	6.9387029346548530e+04
134	0.002140	1.9531245998223312e-02	6.9387048877794528e+04
135	0.002128	0.0000000000000000e+00	6.9387048877794528e+04
136	0.002166	1.5190869904472493e-02	6.9387064068664433e+04
137	0.002131	0.0000000000000000e+00	6.9387064068664433e+04
138	0.002128	0.0000000000000000e+00	6.9387064068664433e+04
139	0.001070	0.0000000000000000e+00	6.9387064068664433e+04
140	0.002135	0.0000000000000000e+00	6.9387064068664433e+04
141	0.002135	6.3773198489798233e-03	6.9387070445984282e+04
142	0.002133	9.4138481799745932e-03	6.9387079859832462e+04
143	0.001067	0.0000000000000000e+00	6.9387079859832462e+04
144	0.002128	0.0000000000000000e+00	6.9387079859832462e+04
145	0.002131	1.2771231587976217e-02	6.9387092631064050e+04
146	0.001067	0.0000000000000000e+00	6.9387092631064050e+04
147	0.002132	0.0000000000000000e+00	6.9387092631064050e+04
148	0.002131	0.0000000000000000e+00	6.9387092631064050e+04
149	0.002124	0.0000000000000000e+00	6.9387092631064050e+04
150	0.002124	0.0000000000000000e+00	6.9387092631064050e+04
151	0.002128	0.0000000000000000e+00	6.9387092631064050e+04
152	0.002194	0.0000000000000000e+00	6.9387092631064050e+04
153	0.001068	0.0000000000000000e+00	6.9387092631064050e+04
154	0.001070	0.0000000000000000e+00	6.9387092631064050e+04
155	0.002131	2.6983770658262074e-04	6.9387092900901756e+04
156	0.001067	0.0000000000000000e+00	6.9387092900901756e+04
157	0.002127	1.5335967618739232e-03	6.9387094434498518e+04
158	0.002150	2.5937594182323664e-04	6.9387094693874460e+04
159	0.002156	8.8931548816617578e-04	6.9387095583189948e+04
160	0.002151	6.3346083334181458e-04	6.9387096216650782e+04
161	0.002137	2.0478430087678134e-04	6.9387096421435082e+04
162	0.002133	4.9748373567126691e-04	6.9387096918918818e+04
163	0.002150	0.0000000000000000e+00	6.9387096918918818e+04
164	0.002127	1.6818360018078238e-04	6.9387097087102418e+04
165	0.002133	3.6190243554301560e-04	6.9387097449004854e+04
166	0.002128	2.6878647622652352e-04	6.9387097717791330e+04
167	0.002151	3.7899726885370910e-04	6.9387098096788599e+04
168	0.002132	6.9518748205155134e-05	6.9387098166307347e+04
169	0.002136	2.2445572540163994e-05	6.9387098188752920e+04
170	0.002130	4.1562601109035313e-04	6.9387098604378931e+04
171	0.002127	0.0000000000000000e+00	6.9387098604378931e+04
172	0.001066	0.0000000000000000e+00	6.9387098604378931e+04
173	0.002154	2.5875575374811888e-05	6.9387098630254506e+04
174	0.002128	1.4507965533994138e-04	6.9387098775334161e+04
175	0.002156	7.2772236308082938e-05	6.9387098848106398e+04
176	0.002231	1.2550517567433417e-05	6.9387098860656915e+04
177	0.002215	3.8309124647639692e-05	6.9387098898966040e+04
178	0.002166	9.1726833488792181e-05	6.9387098990692873e+04
179	0.002160	1.4240670134313405e-04	6.9387099133099575e+04
180	0.002135	0.0000000000000000e+00	6.9387099133099575e+04
181	0.001070	0.0000000000000000e+00	6.9387099133099575e+04
182	0.002132	8.1546604633331299e-06	6.9387099141254235e+04
183	0.002126	9.3712442321702838e-06	6.9387099150625480e+04
184	0.002131	8.3290506154298782e-06	6.9387099158954530e+04
185	0.002126	4.5348846470005810e-05	6.9387099204303377e+04
186	0.002145	8.8058004621416330e-06	6.9387099213109177e+04
187	0.002133	1.1556563549675047e-05	6.9387099224665741e+04
