seed: 853692250

iter	duration	log_likelihood	delta-lle
0	2.809771	-4.4136626898978285e+07
1	26.686766	-3.9204268547319748e+07	4.9323583516585380e+06
2	25.404676	-3.4695536182629772e+07	4.5087323646899760e+06
3	25.301430	-3.3862980290784620e+07	8.3255589184515178e+05
4	24.928037	-3.3249755171228044e+07	6.1322511955657601e+05
5	24.717573	-3.2691452007163312e+07	5.5830316406473145e+05
6	24.577078	-3.2141630457203671e+07	5.4982154995964095e+05
7	24.176066	-3.1595502168748002e+07	5.4612828845566884e+05
8	23.978681	-3.1065154865992472e+07	5.3034730275553092e+05
9	23.732196	-3.0550410780508347e+07	5.1474408548412472e+05
10	23.556382	-3.0037976099866055e+07	5.1243468064229190e+05
11	23.612360	-2.9545488157159846e+07	4.9248794270620868e+05
12	23.494871	-2.9095826101156764e+07	4.4966205600308254e+05
13	23.376828	-2.8709152589152515e+07	3.8667351200424880e+05
14	23.174090	-2.8411042957484763e+07	2.9810963166775182e+05
15	23.294623	-2.8219770570774883e+07	1.9127238670988008e+05
16	22.958526	-2.8125510022662353e+07	9.4260548112530261e+04
17	22.934144	-2.8090410465918358e+07	3.5099556743994355e+04
18	23.001316	-2.8076993731766686e+07	1.3416734151672572e+04
19	22.729609	-2.8069731166603435e+07	7.2625651632510126e+03
20	22.814200	-2.8065234929597858e+07	4.4962370055764914e+03
21	22.964586	-2.8061884946155839e+07	3.3499834420196712e+03
22	22.558158	-2.8059227222215667e+07	2.6577239401713014e+03
23	22.763038	-2.8056967924268790e+07	2.2592979468777776e+03
24	22.601993	-2.8054988073509146e+07	1.9798507596440613e+03
25	22.658581	-2.8053291917307638e+07	1.6961562015078962e+03
26	22.592630	-2.8051673924044445e+07	1.6179932631924748e+03
27	22.441816	-2.8050332037160430e+07	1.3418868840150535e+03
28	22.594236	-2.8048985757383436e+07	1.3462797769941390e+03
29	22.696323	-2.8047671362447746e+07	1.3143949356898665e+03
30	22.303598	-2.8046534544253021e+07	1.1368181947246194e+03
31	22.550658	-2.8045339444058180e+07	1.1951001948416233e+03
32	22.372580	-2.8044212981437813e+07	1.1264626203663647e+03
33	22.456649	-2.8043116259587314e+07	1.0967218504995108e+03
34	22.459767	-2.8042027814004015e+07	1.0884455832988024e+03
35	22.261348	-2.8041130581779171e+07	8.9723222484439611e+02
36	22.371841	-2.8040188363292344e+07	9.4221848682686687e+02
37	22.438455	-2.8039272148137502e+07	9.1621515484154224e+02
38	22.274106	-2.8038220025909200e+07	1.0521222283020616e+03
39	22.390070	-2.8037193158613116e+07	1.0268672960847616e+03
40	22.167796	-2.8036510742974274e+07	6.8241563884168863e+02
41	22.188806	-2.8035905022901967e+07	6.0572007230669260e+02
42	22.331674	-2.8035326373896945e+07	5.7864900502189994e+02
43	22.273988	-2.8034761621950954e+07	5.6475194599106908e+02
44	22.166998	-2.8034273010337848e+07	4.8861161310598254e+02
45	22.220830	-2.8033729494429797e+07	5.4351590805128217e+02
46	22.065316	-2.8033535219567060e+07	1.9427486273646355e+02
47	22.380563	-2.8032941894023832e+07	5.9332554322853684e+02
48	22.046536	-2.8032668632937588e+07	2.7326108624413610e+02
49	22.052253	-2.8032032780196037e+07	6.3585274155065417e+02
50	22.178545	-2.8031382658895615e+07	6.5012130042165518e+02
51	22.139332	-2.8030741465747707e+07	6.4119314790889621e+02
52	22.052869	-2.8030163361499969e+07	5.7810424773767591e+02
53	22.204154	-2.8029548092579663e+07	6.1526892030611634e+02
54	21.890165	-2.8028979056855388e+07	5.6903572427481413e+02
55	22.177210	-2.8028742722482465e+07	2.3633437292277813e+02
56	22.055071	-2.8028288342087720e+07	4.5438039474561810e+02
57	22.021184	-2.8027756471894912e+07	5.3187019280716777e+02
58	22.267458	-2.8027265454012677e+07	4.9101788223534822e+02
59	21.942856	-2.8026743025557116e+07	5.2242845556139946e+02
60	21.878722	-2.8026557569353592e+07	1.8545620352402329e+02
61	22.167501	-2.8026110234016873e+07	4.4733533671870828e+02
62	22.052577	-2.8025731488495462e+07	3.7874552141129971e+02
63	22.112029	-2.8025453454214770e+07	2.7803428069129586e+02
64	21.905268	-2.8025154108562589e+07	2.9934565218165517e+02
65	21.936193	-2.8024871461075306e+07	2.8264748728275299e+02
66	22.024610	-2.8024918577779360e+07	-4.7116704054176807e+01
67	22.124167	-2.8024639215535849e+07	2.7936224351078272e+02
68	21.933274	-2.8024370161061436e+07	2.6905447441339493e+02
69	22.111346	-2.8024101391308393e+07	2.6876975304260850e+02
70	21.856981	-2.8024244625673957e+07	-1.4323436556383967e+02
71	21.880030	-2.8023920729339365e+07	3.2389633459225297e+02
72	21.999222	-2.8023619539033514e+07	3.0119030585139990e+02
73	22.096033	-2.8023317267987248e+07	3.0227104626595974e+02
74	21.926790	-2.8023182401287429e+07	1.3486669981852174e+02
75	21.938398	-2.8022837925507139e+07	3.4447578028962016e+02
76	21.765747	-2.8022497620803408e+07	3.4030470373108983e+02
77	22.072732	-2.8022151632905252e+07	3.4598789815604687e+02
78	22.043727	-2.8021861563894391e+07	2.9006901086121798e+02
79	21.966627	-2.8021479816444419e+07	3.8174744997173548e+02
80	21.960352	-2.8021087314927969e+07	3.9250151645019650e+02
81	21.858937	-2.8020668139281861e+07	4.1917564610764384e+02
82	21.761249	-2.8020225461378586e+07	4.4267790327593684e+02
83	22.072840	-2.8019993764375992e+07	2.3169700259342790e+02
84	21.921162	-2.8019510017934021e+07	4.8374644197151065e+02
85	21.966861	-2.8018973278949738e+07	5.3673898428305984e+02
86	21.771591	-2.8018390795389768e+07	5.8248355996981263e+02
87	21.752710	-2.8017794021009721e+07	5.9677438004687428e+02
88	21.886064	-2.8017089425233558e+07	7.0459577616304159e+02
89	21.992396	-2.8016443539036971e+07	6.4588619658723474e+02
90	21.776635	-2.8015572259838678e+07	8.7127919829264283e+02
91	22.028441	-2.8014715595658652e+07	8.5666418002545834e+02
92	21.664283	-2.8013584813856803e+07	1.1307818018496037e+03
93	21.793073	-2.8012311293464411e+07	1.2735203923918307e+03
94	21.833817	-2.8010884463835888e+07	1.4268296285234392e+03
95	21.869649	-2.8009328305850863e+07	1.5561579850241542e+03
96	21.834594	-2.8008024489772219e+07	1.3038160786442459e+03
97	21.818374	-2.8006388343904860e+07	1.6361458673588932e+03
98	21.554577	-2.8005182597247243e+07	1.2057466576173902e+03
99	21.876562	-2.8004553449225724e+07	6.2914802151918411e+02
100	21.760595	-2.8004147868242111e+07	4.0558098361268640e+02
101	21.820737	-2.8003775722220954e+07	3.7214602115750313e+02
102	21.930260	-2.8003446397637349e+07	3.2932458360493183e+02
103	21.699501	-2.8003147435912699e+07	2.9896172465011477e+02
104	21.584614	-2.8003087225053038e+07	6.0210859660059214e+01
105	21.872876	-2.8003042354962170e+07	4.4870090868324041e+01
106	21.767188	-2.8002779174556293e+07	2.6318040587753057e+02
107	21.802805	-2.8002535456911132e+07	2.4371764516085386e+02
108	21.952910	-2.8002364597818054e+07	1.7085909307748079e+02
109	21.718534	-2.8002307546643253e+07	5.7051174800843000e+01
110	21.783562	-2.8002123455604948e+07	1.8409103830531240e+02
111	21.798586	-2.8001963253322426e+07	1.6020228252187371e+02
112	21.660619	-2.8001886621768713e+07	7.6631553713232279e+01
113	21.900829	-2.8001923259863947e+07	-3.6638095233589411e+01
114	21.876173	-2.8001794474429090e+07	1.2878543485701084e+02
115	21.715902	-2.8001984225797579e+07	-1.8975136848911643e+02
116	21.784854	-2.8001851033521805e+07	1.3319227577373385e+02
117	21.752507	-2.8001729803946741e+07	1.2122957506403327e+02
118	21.662152	-2.8001614793590594e+07	1.1501035614684224e+02
119	21.932708	-2.8001513054604173e+07	1.0173898642137647e+02
120	21.675716	-2.8001415923375122e+07	9.7131229050457478e+01
121	21.866080	-2.8001393057312988e+07	2.2866062134504318e+01
122	21.686278	-2.8001297685363438e+07	9.5371949549764395e+01
123	21.677453	-2.8001292536980018e+07	5.1483834199607372e+00
124	21.816471	-2.8001600908222318e+07	-3.0837124229967594e+02
125	21.934364	-2.8001490540645167e+07	1.1036757715046406e+02
126	21.690855	-2.8001394396411892e+07	9.6144233275204897e+01
127	21.954309	-2.8001304602563716e+07	8.9793848175555468e+01
128	21.619206	-2.8001329629968490e+07	-2.5027404773980379e+01
129	21.726078	-2.8001251265748613e+07	7.8364219877868891e+01
130	21.817375	-2.8001185941909704e+07	6.5323838908225298e+01
131	21.843101	-2.8001540069956481e+07	-3.5412804677709937e+02
132	21.790590	-2.8001424761450976e+07	1.1530850550532341e+02
133	21.808403	-2.8001328107968457e+07	9.6653482519090176e+01
134	21.588644	-2.8001235871436298e+07	9.2236532159149647e+01
135	21.857971	-2.8001157288264610e+07	7.8583171688020229e+01
136	21.796688	-2.8001369166468121e+07	-2.1187820351123810e+02
137	21.733863	-2.8001273576070026e+07	9.5590398095548153e+01
138	21.959175	-2.8001192336453103e+07	8.1239616923034191e+01
139	21.742102	-2.8001117334799256e+07	7.5001653846353292e+01
140	21.620245	-2.8001055557552844e+07	6.1777246411889791e+01
141	21.879611	-2.8001070836986274e+07	-1.5279433429241180e+01
142	21.759286	-2.8001303793952726e+07	-2.3295696645230055e+02
143	21.769251	-2.8001210634507269e+07	9.3159445457160473e+01
144	22.000182	-2.8001131987470344e+07	7.8647036924958229e+01
145	21.685786	-2.8001068083307773e+07	6.3904162570834160e+01
