seed: 1199392146

iter	duration	log_likelihood	delta-lle
0	2.858599	-4.4306268929763734e+07
1	14.908954	-3.9395574940858424e+07	4.9106939889053106e+06
2	15.159284	-3.5057247849435449e+07	4.3383270914229751e+06
3	14.802532	-3.3976339007725075e+07	1.0809088417103738e+06
4	14.838919	-3.3366229364888936e+07	6.1010964283613861e+05
5	14.670923	-3.2836494153954711e+07	5.2973521093422547e+05
6	14.614581	-3.2329009179664176e+07	5.0748497429053485e+05
7	14.593852	-3.1830415393320750e+07	4.9859378634342551e+05
8	14.635034	-3.1335821116402276e+07	4.9459427691847458e+05
9	14.620241	-3.0837710866603505e+07	4.9811024979877099e+05
10	14.597980	-3.0334878089725345e+07	5.0283277687815949e+05
11	14.472816	-2.9837844744893134e+07	4.9703334483221173e+05
12	14.551137	-2.9370721714458048e+07	4.6712303043508530e+05
13	14.615270	-2.8961274332785953e+07	4.0944738167209551e+05
14	14.421460	-2.8640351611075986e+07	3.2092272170996666e+05
15	14.428270	-2.8430517503309492e+07	2.0983410776649415e+05
16	14.523522	-2.8327733962152559e+07	1.0278354115693271e+05
17	14.468302	-2.8293857064115047e+07	3.3876898037511855e+04
18	14.422130	-2.8284361386359822e+07	9.4956777552254498e+03
19	14.262745	-2.8280099361204904e+07	4.2620251549184322e+03
20	14.426477	-2.8276972850027230e+07	3.1265111776739359e+03
21	14.436588	-2.8274136136158705e+07	2.8367138685248792e+03
22	14.340700	-2.8271427009196263e+07	2.7091269624419510e+03
23	14.199400	-2.8268826543527290e+07	2.6004656689725816e+03
24	14.263777	-2.8266449731195673e+07	2.3768123316168785e+03
25	14.277866	-2.8264470725597184e+07	1.9790055984891951e+03
26	14.147365	-2.8262764567666724e+07	1.7061579304598272e+03
27	14.187793	-2.8261142727722798e+07	1.6218399439267814e+03
28	14.028857	-2.8259535489927810e+07	1.6072377949878573e+03
29	14.170209	-2.8257868368464999e+07	1.6671214628107846e+03
30	14.090580	-2.8256110198432725e+07	1.7581700322739780e+03
31	14.071268	-2.8254207207089067e+07	1.9029913436584175e+03
32	14.000626	-2.8252214492647797e+07	1.9927144412696362e+03
33	14.133480	-2.8250347805324886e+07	1.8666873229108751e+03
34	14.111284	-2.8248395320459291e+07	1.9524848655946553e+03
35	13.920581	-2.8246040812339745e+07	2.3545081195458770e+03
36	13.956852	-2.8243147680436969e+07	2.8931319027766585e+03
37	14.121340	-2.8239926181975581e+07	3.2214984613880515e+03
38	14.092293	-2.8237093092133328e+07	2.8330898422524333e+03
39	14.057323	-2.8234893617704429e+07	2.1994744288995862e+03
40	13.891422	-2.8232935414706443e+07	1.9582029979862273e+03
41	13.940440	-2.8231129457302265e+07	1.8059574041776359e+03
42	14.066679	-2.8229475410878930e+07	1.6540464233346283e+03
43	13.880824	-2.8228251485029969e+07	1.2239258489608765e+03
44	13.887842	-2.8227404159103472e+07	8.4732592649757862e+02
45	13.888097	-2.8226768703297403e+07	6.3545580606907606e+02
46	13.971552	-2.8226257539372496e+07	5.1116392490640283e+02
47	13.988023	-2.8225817153495878e+07	4.4038587661832571e+02
48	13.829576	-2.8225405988176282e+07	4.1116531959548593e+02
49	13.906493	-2.8225008155582421e+07	3.9783259386196733e+02
50	13.987632	-2.8224621074720316e+07	3.8708086210489273e+02
51	13.979265	-2.8224235254202284e+07	3.8582051803171635e+02
52	13.923208	-2.8223846664479569e+07	3.8858972271531820e+02
53	13.814241	-2.8223454467904557e+07	3.9219657501205802e+02
54	13.825939	-2.8223058114973806e+07	3.9635293075069785e+02
55	13.892953	-2.8222652910924803e+07	4.0520404900237918e+02
56	13.803869	-2.8222236516533867e+07	4.1639439093694091e+02
57	13.873053	-2.8221833848905206e+07	4.0266762866079807e+02
58	13.788741	-2.8221451129119437e+07	3.8271978576853871e+02
59	13.876986	-2.8221078029661421e+07	3.7309945801645517e+02
60	13.900026	-2.8220733007948548e+07	3.4502171287313104e+02
61	13.747928	-2.8220455113051675e+07	2.7789489687234163e+02
62	13.719144	-2.8220246360449903e+07	2.0875260177254677e+02
63	13.840053	-2.8220092373639654e+07	1.5398681024834514e+02
64	13.897835	-2.8219997231856737e+07	9.5141782917082310e+01
65	13.815673	-2.8219934851755287e+07	6.2380101449787617e+01
66	13.827065	-2.8219891467770740e+07	4.3383984547108412e+01
67	13.719256	-2.8219856832595944e+07	3.4635174795985222e+01
68	13.782356	-2.8219827707433816e+07	2.9125162128359079e+01
69	13.788729	-2.8219800944535155e+07	2.6762898661196232e+01
70	13.699988	-2.8219775574635293e+07	2.5369899861514568e+01
71	13.664616	-2.8219750694918405e+07	2.4879716888070107e+01
72	13.873779	-2.8219725661713749e+07	2.5033204656094313e+01
73	13.776654	-2.8219700819106251e+07	2.4842607498168945e+01
74	13.873000	-2.8219676024966244e+07	2.4794140007346869e+01
75	13.684843	-2.8219651509078693e+07	2.4515887551009655e+01
76	13.786673	-2.8219627576163664e+07	2.3932915028184652e+01
77	13.847511	-2.8219604580232020e+07	2.2995931643992662e+01
78	13.682882	-2.8219582761756938e+07	2.1818475082516670e+01
79	13.717714	-2.8219561090874717e+07	2.1670882221311331e+01
80	13.653825	-2.8219537236627091e+07	2.3854247625917196e+01
81	13.745521	-2.8219509479047239e+07	2.7757579851895571e+01
82	13.858638	-2.8219476697252739e+07	3.2781794499605894e+01
83	13.673983	-2.8219436969726004e+07	3.9727526735514402e+01
84	13.678807	-2.8219390620965701e+07	4.6348760303109884e+01
85	13.825695	-2.8219336203141827e+07	5.4417823873460293e+01
86	13.788439	-2.8219275016122509e+07	6.1187019318342209e+01
87	13.854260	-2.8219207852761663e+07	6.7163360845297575e+01
88	13.645182	-2.8219136395752314e+07	7.1457009349018335e+01
89	13.693201	-2.8219062740928464e+07	7.3654823850840330e+01
90	13.803977	-2.8218988878517959e+07	7.3862410504370928e+01
91	13.705258	-2.8218916358367577e+07	7.2520150382071733e+01
92	13.763850	-2.8218846250998791e+07	7.0107368785887957e+01
93	13.614182	-2.8218778879239194e+07	6.7371759597212076e+01
94	13.825005	-2.8218713599058371e+07	6.5280180823057890e+01
95	13.817123	-2.8218650468602933e+07	6.3130455438047647e+01
96	13.826674	-2.8218589737725090e+07	6.0730877842754126e+01
97	13.693096	-2.8218531353087764e+07	5.8384637326002121e+01
98	13.748122	-2.8218474999814223e+07	5.6353273540735245e+01
99	13.844264	-2.8218420623053860e+07	5.4376760363578796e+01
100	13.728555	-2.8218368229706351e+07	5.2393347509205341e+01
101	13.750395	-2.8218317746682301e+07	5.0483024049550295e+01
102	13.660861	-2.8218268822792962e+07	4.8923889338970184e+01
103	13.777462	-2.8218221372520536e+07	4.7450272426009178e+01
104	13.841719	-2.8218175417740546e+07	4.5954779990017414e+01
105	13.717118	-2.8218130947130151e+07	4.4470610395073891e+01
106	13.654388	-2.8218087933520321e+07	4.3013609830290079e+01
107	13.853549	-2.8218046334521674e+07	4.1598998647183180e+01
108	13.755268	-2.8218006129615299e+07	4.0204906374216080e+01
109	13.784519	-2.8217967274961960e+07	3.8854653339833021e+01
110	13.620698	-2.8217929646917462e+07	3.7628044497221708e+01
111	13.712573	-2.8217893176673636e+07	3.6470243826508522e+01
112	13.780041	-2.8217857791248579e+07	3.5385425057262182e+01
113	13.740496	-2.8217823439790905e+07	3.4351457674056292e+01
114	13.701888	-2.8217790029488921e+07	3.3410301983356476e+01
115	13.648128	-2.8217757511833597e+07	3.2517655324190855e+01
116	13.772886	-2.8217725936955251e+07	3.1574878346174955e+01
117	13.783145	-2.8217695254129738e+07	3.0682825513184071e+01
118	13.630500	-2.8217665419718657e+07	2.9834411080926657e+01
119	13.664661	-2.8217636393960014e+07	2.9025758642703295e+01
120	13.764054	-2.8217608142441444e+07	2.8251518569886684e+01
121	13.864023	-2.8217580638980988e+07	2.7503460455685854e+01
122	13.713065	-2.8217554100339025e+07	2.6538641963154078e+01
123	13.739108	-2.8217527751032997e+07	2.6349306028336287e+01
124	13.672895	-2.8217502319706880e+07	2.5431326117366552e+01
125	13.721115	-2.8217477539791327e+07	2.4779915552586317e+01
126	13.830771	-2.8217453386634171e+07	2.4153157155960798e+01
127	13.676799	-2.8217429856311593e+07	2.3530322577804327e+01
128	13.671804	-2.8217406943145778e+07	2.2913165815174580e+01
129	13.814565	-2.8217384651527278e+07	2.2291618499904871e+01
130	13.729135	-2.8217362950890899e+07	2.1700636379420757e+01
131	13.801349	-2.8217342102561072e+07	2.0848329827189445e+01
132	13.628226	-2.8217321439214807e+07	2.0663346264511347e+01
133	13.708978	-2.8217301650448941e+07	1.9788765866309404e+01
134	13.787193	-2.8217282473641656e+07	1.9176807284355164e+01
135	13.673469	-2.8217263897491645e+07	1.8576150011271238e+01
136	13.700995	-2.8217245922956318e+07	1.7974535327404737e+01
137	13.665744	-2.8217228533219371e+07	1.7389736946672201e+01
138	13.813332	-2.8217211706954654e+07	1.6826264716684818e+01
139	13.794659	-2.8217195444224771e+07	1.6262729883193970e+01
140	13.641083	-2.8217179999179784e+07	1.5445044986903667e+01
141	13.635442	-2.8217164661040645e+07	1.5338139139115810e+01
142	13.759888	-2.8217150141518708e+07	1.4519521936774254e+01
143	13.836170	-2.8217136167163730e+07	1.3974354978650808e+01
144	13.714718	-2.8217122766190249e+07	1.3400973480194807e+01
145	13.786617	-2.8217109907336429e+07	1.2858853820711374e+01
146	13.635077	-2.8217097555166129e+07	1.2352170299738646e+01
147	13.809693	-2.8217085679837897e+07	1.1875328231602907e+01
148	13.718143	-2.8217074268905733e+07	1.1410932164639235e+01
149	13.659200	-2.8217063573960204e+07	1.0694945529103279e+01
150	13.609238	-2.8217053432327889e+07	1.0141632314771414e+01
151	13.826631	-2.8217043757918175e+07	9.6744097135961056e+00
152	13.739192	-2.8217034506278668e+07	9.2516395077109337e+00
153	13.823189	-2.8217025638468944e+07	8.8678097240626812e+00
154	13.615403	-2.8217017124914508e+07	8.5135544352233410e+00
155	13.769316	-2.8217008939391360e+07	8.1855231486260891e+00
156	13.823312	-2.8217001059027530e+07	7.8803638294339180e+00
157	13.687464	-2.8216993471782848e+07	7.5872446820139885e+00
158	13.715698	-2.8216986164912548e+07	7.3068703003227711e+00
159	13.664704	-2.8216979126180299e+07	7.0387322492897511e+00
160	13.722658	-2.8216972586244404e+07	6.5399358943104744e+00
161	13.743015	-2.8216965805777866e+07	6.7804665379226208e+00
162	13.682478	-2.8216959513733447e+07	6.2920444197952747e+00
163	13.620362	-2.8216953455404207e+07	6.0583292394876480e+00
164	13.775087	-2.8216947624118730e+07	5.8312854766845703e+00
165	13.799445	-2.8216942012355614e+07	5.6117631159722805e+00
166	13.730337	-2.8216936606759463e+07	5.4055961519479752e+00
167	13.766709	-2.8216931391976409e+07	5.2147830538451672e+00
168	13.628423	-2.8216926373475149e+07	5.0185012593865395e+00
169	13.758740	-2.8216921532600481e+07	4.8408746682107449e+00
170	13.706390	-2.8216916858877044e+07	4.6737234368920326e+00
171	13.653737	-2.8216912344783269e+07	4.5140937753021717e+00
172	13.624705	-2.8216907982251011e+07	4.3625322580337524e+00
173	13.849232	-2.8216903764338985e+07	4.2179120257496834e+00
174	13.749663	-2.8216899686486091e+07	4.0778528936207294e+00
175	13.772686	-2.8216895743093878e+07	3.9433922134339809e+00
176	13.616976	-2.8216891928689502e+07	3.8144043758511543e+00
177	13.752371	-2.8216888480703540e+07	3.4479859620332718e+00
178	13.844451	-2.8216886149710536e+07	2.3309930041432381e+00
179	13.660591	-2.8216882677594509e+07	3.4721160270273685e+00
180	13.693779	-2.8216878765157215e+07	3.9124372936785221e+00
181	13.646877	-2.8216875063817084e+07	3.7013401314616203e+00
182	13.727756	-2.8216871622557219e+07	3.4412598647177219e+00
183	13.761536	-2.8216868452631500e+07	3.1699257194995880e+00
184	13.651500	-2.8216865480472814e+07	2.9721586853265762e+00
185	13.648943	-2.8216862619387541e+07	2.8610852733254433e+00
186	13.784161	-2.8216859845088337e+07	2.7742992043495178e+00
187	13.810169	-2.8216857153857119e+07	2.6912312172353268e+00
188	13.764925	-2.8216854555465955e+07	2.5983911640942097e+00
189	13.755549	-2.8216852044243768e+07	2.5112221874296665e+00
190	13.640026	-2.8216849615630109e+07	2.4286136589944363e+00
191	13.748635	-2.8216847266263619e+07	2.3493664897978306e+00
192	13.719414	-2.8216844992952708e+07	2.2733109109103680e+00
193	13.688918	-2.8216843034640394e+07	1.9583123140037060e+00
194	13.677565	-2.8216840662949711e+07	2.3716906830668449e+00
195	13.840602	-2.8216838601919282e+07	2.0610304288566113e+00
196	13.771422	-2.8216836607216362e+07	1.9947029203176498e+00
197	13.813142	-2.8216834676517498e+07	1.9306988641619682e+00
198	13.648752	-2.8216832807795499e+07	1.8687219992280006e+00
199	13.737726	-2.8216831241054934e+07	1.5667405650019646e+00
200	13.806583	-2.8216829248438243e+07	1.9926166906952858e+00
201	13.694593	-2.8216827554438137e+07	1.6940001063048840e+00
202	13.740867	-2.8216826164773520e+07	1.3896646164357662e+00
203	13.637734	-2.8216824352870505e+07	1.8119030147790909e+00
204	13.695439	-2.8216822839499213e+07	1.5133712925016880e+00
205	13.739998	-2.8216821380501907e+07	1.4589973054826260e+00
206	13.646035	-2.8216819974240914e+07	1.4062609933316708e+00
207	13.601261	-2.8216818618856926e+07	1.3553839884698391e+00
208	13.772375	-2.8216817554804683e+07	1.0640522427856922e+00
209	13.773993	-2.8216816055129565e+07	1.4996751174330711e+00
210	13.729736	-2.8216814844009001e+07	1.2111205644905567e+00
211	13.755800	-2.8216813677358229e+07	1.1666507720947266e+00
212	13.675109	-2.8216812552439541e+07	1.1249186880886555e+00
213	13.737954	-2.8216811467310335e+07	1.0851292051374912e+00
214	13.671263	-2.8216810420416981e+07	1.0468933545053005e+00
215	13.671995	-2.8216809410683159e+07	1.0097338221967220e+00
