iter	duration	delta-lle	log-likelihood
1	0.013372	0.0000000000000000e+00	7.7633669034252991e+04
2	0.005922	0.0000000000000000e+00	7.7633669034252991e+04
3	0.005754	0.0000000000000000e+00	7.7633669034252991e+04
4	0.005626	0.0000000000000000e+00	7.7633669034252991e+04
5	0.005643	0.0000000000000000e+00	7.7633669034252991e+04
6	0.005635	8.6691604835141334e+02	7.8500585082604404e+04
7	0.005740	7.2395183455518272e+03	8.5740103428156232e+04
8	0.005769	8.4794616034054197e+03	9.4219565031561651e+04
9	0.005819	0.0000000000000000e+00	9.4219565031561651e+04
10	0.005830	0.0000000000000000e+00	9.4219565031561651e+04
11	0.005761	0.0000000000000000e+00	9.4219565031561651e+04
12	0.005644	4.6344560587455635e+02	9.4683010637436208e+04
13	0.005636	1.3111166265509382e+03	9.5994127263987146e+04
14	0.005635	4.4160951271871454e+02	9.6435736776705860e+04
15	0.007033	1.7218808500592713e+03	9.8157617626765132e+04
16	0.007121	4.4564093479144503e+02	9.8603258561556577e+04
17	0.001409	0.0000000000000000e+00	9.8603258561556577e+04
18	0.008529	3.0918447921177722e+02	9.8912443040768354e+04
19	0.009872	3.3066003211386851e+02	9.9243103072882222e+04
20	0.011414	8.7666831578375422e+02	1.0011977138866598e+05
21	0.001439	0.0000000000000000e+00	1.0011977138866598e+05
22	0.001433	0.0000000000000000e+00	1.0011977138866598e+05
23	0.001422	0.0000000000000000e+00	1.0011977138866598e+05
24	0.001412	0.0000000000000000e+00	1.0011977138866598e+05
25	0.001420	0.0000000000000000e+00	1.0011977138866598e+05
26	0.001412	0.0000000000000000e+00	1.0011977138866598e+05
27	0.001409	0.0000000000000000e+00	1.0011977138866598e+05
28	0.001406	0.0000000000000000e+00	1.0011977138866598e+05
29	0.001412	0.0000000000000000e+00	1.0011977138866598e+05
30	0.001409	0.0000000000000000e+00	1.0011977138866598e+05
31	0.002902	0.0000000000000000e+00	1.0011977138866598e+05
32	0.002941	0.0000000000000000e+00	1.0011977138866598e+05
33	0.002847	0.0000000000000000e+00	1.0011977138866598e+05
34	0.001411	0.0000000000000000e+00	1.0011977138866598e+05
35	0.002868	6.1999246553960256e+02	1.0073976385420558e+05
36	0.001414	2.4456966924825683e+03	1.0318546054668815e+05
