seed: 1432695771

iter	duration	log_likelihood	delta-lle
0	2.947089	-4.4132593013701595e+07
1	26.482239	-3.9256943095647283e+07	4.8756499180543125e+06
2	24.972596	-3.4579111985991232e+07	4.6778311096560508e+06
3	24.616131	-3.3780799687155351e+07	7.9831229883588105e+05
4	24.141274	-3.3190706690030862e+07	5.9009299712448940e+05
5	23.951791	-3.2648696076979849e+07	5.4201061305101216e+05
6	23.601342	-3.2127923555212140e+07	5.2077252176770940e+05
7	23.184635	-3.1612362318547968e+07	5.1556123666417226e+05
8	23.292912	-3.1105303910753384e+07	5.0705840779458359e+05
9	22.659748	-3.0598431488489427e+07	5.0687242226395756e+05
10	22.822721	-3.0090449600774992e+07	5.0798188771443442e+05
11	22.702619	-2.9593010283979505e+07	4.9743931679548696e+05
12	22.487720	-2.9127949704808194e+07	4.6506057917131111e+05
13	22.472273	-2.8723181586221099e+07	4.0476811858709529e+05
14	22.489669	-2.8413784737445295e+07	3.0939684877580404e+05
15	22.205969	-2.8223217654221844e+07	1.9056708322345093e+05
16	22.407188	-2.8136555143469311e+07	8.6662510752532631e+04
17	21.983021	-2.8106842138943981e+07	2.9713004525329918e+04
18	22.294682	-2.8095536137523640e+07	1.1306001420341432e+04
19	22.112705	-2.8089696709537610e+07	5.8394279860295355e+03
20	22.127921	-2.8085310669644903e+07	4.3860398927070200e+03
21	22.170734	-2.8081636382877737e+07	3.6742867671661079e+03
22	22.053431	-2.8077992909056202e+07	3.6434738215357065e+03
23	21.835387	-2.8074024233319160e+07	3.9686757370419800e+03
24	22.164589	-2.8069399288548075e+07	4.6249447710849345e+03
25	22.071488	-2.8064324774030421e+07	5.0745145176537335e+03
26	22.038174	-2.8058377277044252e+07	5.9474969861693680e+03
27	21.810076	-2.8053032579603191e+07	5.3446974410600960e+03
28	21.843277	-2.8048479342981782e+07	4.5532366214096546e+03
29	21.855915	-2.8044579347009908e+07	3.8999959718734026e+03
30	21.996480	-2.8041011311865281e+07	3.5680351446270943e+03
31	21.644369	-2.8037956627059825e+07	3.0546848054565489e+03
32	22.054840	-2.8034779320479386e+07	3.1773065804392099e+03
33	21.654037	-2.8031787282409448e+07	2.9920380699373782e+03
34	21.714967	-2.8028730757828996e+07	3.0565245804525912e+03
35	21.697742	-2.8025857111568380e+07	2.8736462606154382e+03
36	21.816297	-2.8022735990700554e+07	3.1211208678260446e+03
37	21.512898	-2.8019847394431621e+07	2.8885962689332664e+03
38	21.761248	-2.8016649365956247e+07	3.1980284753739834e+03
39	21.345738	-2.8013628876107402e+07	3.0204898488447070e+03
40	21.638286	-2.8010950257010583e+07	2.6786190968193114e+03
41	21.427835	-2.8008738495693706e+07	2.2117613168768585e+03
