seed: 853692250

iter	duration	log_likelihood	delta-lle
0	2.385332	-4.4136626898978285e+07
1	22.292645	-3.9204268547319748e+07	4.9323583516585380e+06
2	21.231230	-3.4695536182629772e+07	4.5087323646899760e+06
3	21.082717	-3.3862980290784620e+07	8.3255589184515178e+05
4	20.718959	-3.3249755171228044e+07	6.1322511955657601e+05
5	20.431969	-3.2691452007163312e+07	5.5830316406473145e+05
6	20.343178	-3.2141630457203671e+07	5.4982154995964095e+05
7	20.056859	-3.1595502168748002e+07	5.4612828845566884e+05
8	19.864106	-3.1065154865992472e+07	5.3034730275553092e+05
9	19.692103	-3.0550410780508347e+07	5.1474408548412472e+05
10	19.431910	-3.0037976099866055e+07	5.1243468064229190e+05
11	19.533916	-2.9545488157159846e+07	4.9248794270620868e+05
12	19.030630	-2.9095826101156764e+07	4.4966205600308254e+05
13	19.012472	-2.8709152589152515e+07	3.8667351200424880e+05
14	18.815767	-2.8411042957484763e+07	2.9810963166775182e+05
15	18.739981	-2.8219770570774883e+07	1.9127238670988008e+05
16	18.619210	-2.8125510022662353e+07	9.4260548112530261e+04
17	18.502758	-2.8090410465918358e+07	3.5099556743994355e+04
18	18.543229	-2.8076993731766686e+07	1.3416734151672572e+04
19	18.666980	-2.8069731166603435e+07	7.2625651632510126e+03
20	18.494766	-2.8065234929597858e+07	4.4962370055764914e+03
21	18.465034	-2.8061884946155839e+07	3.3499834420196712e+03
22	18.420775	-2.8059227222215667e+07	2.6577239401713014e+03
23	18.336804	-2.8056967924268790e+07	2.2592979468777776e+03
24	18.232710	-2.8054988073509146e+07	1.9798507596440613e+03
25	18.369660	-2.8053291917307638e+07	1.6961562015078962e+03
26	18.520917	-2.8051673924044445e+07	1.6179932631924748e+03
27	18.368350	-2.8050332037160430e+07	1.3418868840150535e+03
28	18.286207	-2.8048985757383436e+07	1.3462797769941390e+03
29	18.383198	-2.8047671362447746e+07	1.3143949356898665e+03
30	18.267100	-2.8046534544253021e+07	1.1368181947246194e+03
31	18.287323	-2.8045339444058180e+07	1.1951001948416233e+03
32	18.128522	-2.8044212981437813e+07	1.1264626203663647e+03
33	18.189798	-2.8043116259587314e+07	1.0967218504995108e+03
34	18.226754	-2.8042027814004015e+07	1.0884455832988024e+03
35	18.193090	-2.8041130581779171e+07	8.9723222484439611e+02
36	18.124531	-2.8040188363292344e+07	9.4221848682686687e+02
37	18.071163	-2.8039272148137502e+07	9.1621515484154224e+02
38	18.133745	-2.8038220025909200e+07	1.0521222283020616e+03
39	17.995406	-2.8037193158613116e+07	1.0268672960847616e+03
40	18.057856	-2.8036510742974274e+07	6.8241563884168863e+02
41	18.063451	-2.8035905022901967e+07	6.0572007230669260e+02
42	18.190979	-2.8035326373896945e+07	5.7864900502189994e+02
43	18.113282	-2.8034761621950954e+07	5.6475194599106908e+02
44	18.104818	-2.8034273010337848e+07	4.8861161310598254e+02
45	17.935083	-2.8033729494429797e+07	5.4351590805128217e+02
46	17.968041	-2.8033535219567060e+07	1.9427486273646355e+02
47	17.979601	-2.8032941894023832e+07	5.9332554322853684e+02
48	17.815457	-2.8032668632937588e+07	2.7326108624413610e+02
49	17.917052	-2.8032032780196037e+07	6.3585274155065417e+02
50	17.690407	-2.8031382658895615e+07	6.5012130042165518e+02
51	17.791995	-2.8030741465747707e+07	6.4119314790889621e+02
52	17.859433	-2.8030163361499969e+07	5.7810424773767591e+02
53	17.827654	-2.8029548092579663e+07	6.1526892030611634e+02
54	17.812083	-2.8028979056855388e+07	5.6903572427481413e+02
55	17.806726	-2.8028742722482465e+07	2.3633437292277813e+02
56	17.729428	-2.8028288342087720e+07	4.5438039474561810e+02
57	17.771323	-2.8027756471894912e+07	5.3187019280716777e+02
58	17.724991	-2.8027265454012677e+07	4.9101788223534822e+02
59	17.715156	-2.8026743025557116e+07	5.2242845556139946e+02
60	17.775987	-2.8026557569353592e+07	1.8545620352402329e+02
61	17.749514	-2.8026110234016873e+07	4.4733533671870828e+02
62	17.745065	-2.8025731488495462e+07	3.7874552141129971e+02
63	17.700546	-2.8025453454214770e+07	2.7803428069129586e+02
64	17.642880	-2.8025154108562589e+07	2.9934565218165517e+02
65	17.824796	-2.8024871461075306e+07	2.8264748728275299e+02
66	17.677914	-2.8024918577779360e+07	-4.7116704054176807e+01
67	17.735991	-2.8024639215535849e+07	2.7936224351078272e+02
68	17.574652	-2.8024370161061436e+07	2.6905447441339493e+02
69	17.672891	-2.8024101391308393e+07	2.6876975304260850e+02
70	17.657157	-2.8024244625673957e+07	-1.4323436556383967e+02
71	17.569268	-2.8023920729339365e+07	3.2389633459225297e+02
72	17.546826	-2.8023619539033514e+07	3.0119030585139990e+02
73	17.652002	-2.8023317267987248e+07	3.0227104626595974e+02
74	17.693076	-2.8023182401287429e+07	1.3486669981852174e+02
75	17.625278	-2.8022837925507139e+07	3.4447578028962016e+02
76	17.703543	-2.8022497620803408e+07	3.4030470373108983e+02
77	17.772598	-2.8022151632905252e+07	3.4598789815604687e+02
78	17.775177	-2.8021861563894391e+07	2.9006901086121798e+02
79	17.903813	-2.8021479816444419e+07	3.8174744997173548e+02
80	17.706716	-2.8021087314927969e+07	3.9250151645019650e+02
81	17.827464	-2.8020668139281861e+07	4.1917564610764384e+02
82	17.699852	-2.8020225461378586e+07	4.4267790327593684e+02
83	17.664678	-2.8019993764375992e+07	2.3169700259342790e+02
84	17.606887	-2.8019510017934021e+07	4.8374644197151065e+02
85	17.660417	-2.8018973278949738e+07	5.3673898428305984e+02
86	17.637108	-2.8018390795389768e+07	5.8248355996981263e+02
87	17.584671	-2.8017794021009721e+07	5.9677438004687428e+02
88	17.670711	-2.8017089425233558e+07	7.0459577616304159e+02
89	17.751445	-2.8016443539036971e+07	6.4588619658723474e+02
90	17.641531	-2.8015572259838678e+07	8.7127919829264283e+02
91	17.661838	-2.8014715595658652e+07	8.5666418002545834e+02
92	17.697598	-2.8013584813856803e+07	1.1307818018496037e+03
93	17.701672	-2.8012311293464411e+07	1.2735203923918307e+03
94	17.656240	-2.8010884463835888e+07	1.4268296285234392e+03
95	17.652060	-2.8009328305850863e+07	1.5561579850241542e+03
96	17.621747	-2.8008024489772219e+07	1.3038160786442459e+03
97	17.603031	-2.8006388343904860e+07	1.6361458673588932e+03
98	17.513765	-2.8005182597247243e+07	1.2057466576173902e+03
99	17.597853	-2.8004553449225724e+07	6.2914802151918411e+02
100	17.468972	-2.8004147868242111e+07	4.0558098361268640e+02
101	17.603895	-2.8003775722220954e+07	3.7214602115750313e+02
102	17.523799	-2.8003446397637349e+07	3.2932458360493183e+02
103	17.544775	-2.8003147435912699e+07	2.9896172465011477e+02
104	17.634134	-2.8003087225053038e+07	6.0210859660059214e+01
105	17.510243	-2.8003042354962170e+07	4.4870090868324041e+01
106	17.473807	-2.8002779174556293e+07	2.6318040587753057e+02
107	17.557032	-2.8002535456911132e+07	2.4371764516085386e+02
108	17.443257	-2.8002364597818054e+07	1.7085909307748079e+02
109	17.616223	-2.8002307546643253e+07	5.7051174800843000e+01
110	17.557376	-2.8002123455604948e+07	1.8409103830531240e+02
111	17.615550	-2.8001963253322426e+07	1.6020228252187371e+02
112	17.373483	-2.8001886621768713e+07	7.6631553713232279e+01
113	17.541462	-2.8001923259863947e+07	-3.6638095233589411e+01
114	17.606336	-2.8001794474429090e+07	1.2878543485701084e+02
115	17.476149	-2.8001984225797579e+07	-1.8975136848911643e+02
116	17.669501	-2.8001851033521805e+07	1.3319227577373385e+02
117	17.452482	-2.8001729803946741e+07	1.2122957506403327e+02
118	17.588196	-2.8001614793590594e+07	1.1501035614684224e+02
119	17.667009	-2.8001513054604173e+07	1.0173898642137647e+02
120	17.471901	-2.8001415923375122e+07	9.7131229050457478e+01
121	17.454969	-2.8001393057312988e+07	2.2866062134504318e+01
122	17.633427	-2.8001297685363438e+07	9.5371949549764395e+01
123	17.619497	-2.8001292536980018e+07	5.1483834199607372e+00
124	17.521723	-2.8001600908222318e+07	-3.0837124229967594e+02
125	17.402985	-2.8001490540645167e+07	1.1036757715046406e+02
126	17.318440	-2.8001394396411892e+07	9.6144233275204897e+01
127	17.435931	-2.8001304602563716e+07	8.9793848175555468e+01
128	17.551856	-2.8001329629968490e+07	-2.5027404773980379e+01
129	17.472646	-2.8001251265748613e+07	7.8364219877868891e+01
130	17.519259	-2.8001185941909704e+07	6.5323838908225298e+01
131	17.674843	-2.8001540069956481e+07	-3.5412804677709937e+02
132	17.643603	-2.8001424761450976e+07	1.1530850550532341e+02
133	17.413471	-2.8001328107968457e+07	9.6653482519090176e+01
134	17.729555	-2.8001235871436298e+07	9.2236532159149647e+01
135	17.793236	-2.8001157288264610e+07	7.8583171688020229e+01
136	17.817688	-2.8001369166468121e+07	-2.1187820351123810e+02
137	17.787743	-2.8001273576070026e+07	9.5590398095548153e+01
138	17.711753	-2.8001192336453103e+07	8.1239616923034191e+01
139	17.859307	-2.8001117334799256e+07	7.5001653846353292e+01
140	17.715341	-2.8001055557552844e+07	6.1777246411889791e+01
141	17.895494	-2.8001070836986274e+07	-1.5279433429241180e+01
142	17.153255	-2.8001303793952726e+07	-2.3295696645230055e+02
143	17.193652	-2.8001210634507269e+07	9.3159445457160473e+01
144	17.236197	-2.8001131987470344e+07	7.8647036924958229e+01
145	17.141281	-2.8001068083307773e+07	6.3904162570834160e+01
146	17.034588	-2.8001066169557955e+07	1.9137498177587986e+00
147	17.095467	-2.8001010118687321e+07	5.6050870634615421e+01
148	17.118072	-2.8000958436453227e+07	5.1682234093546867e+01
149	17.218618	-2.8000906132366836e+07	5.2304086390882730e+01
150	17.038130	-2.8001346901641756e+07	-4.4076927492022514e+02
151	17.104832	-2.8001252676001851e+07	9.4225639905780554e+01
152	17.048519	-2.8001172964268953e+07	7.9711732897907495e+01
153	17.128810	-2.8001097352821704e+07	7.5611447248607874e+01
154	17.141872	-2.8001100635595962e+07	-3.2827742584049702e+00
155	17.284486	-2.8001129873198114e+07	-2.9237602151930332e+01
156	17.042699	-2.8001060253029335e+07	6.9620168779045343e+01
157	17.153983	-2.8001266098856591e+07	-2.0584582725539804e+02
158	16.941454	-2.8001188711317103e+07	7.7387539487332106e+01
159	17.052593	-2.8001123193529438e+07	6.5517787665128708e+01
160	17.105024	-2.8001058191069227e+07	6.5002460211515427e+01
161	17.059306	-2.8000994846879974e+07	6.3344189252704382e+01
162	17.205276	-2.8000934739851627e+07	6.0107028346508741e+01
163	17.191666	-2.8001010563279383e+07	-7.5823427755385637e+01
164	17.127082	-2.8001077720889784e+07	-6.7157610401511192e+01
165	16.998481	-2.8001073845211592e+07	3.8756781928241253e+00
166	16.985352	-2.8001001687028527e+07	7.2158183064311743e+01
167	17.247729	-2.8001164030347746e+07	-1.6234331921860576e+02
168	17.093840	-2.8001074706798274e+07	8.9323549471795559e+01
169	17.182721	-2.8000999147463895e+07	7.5559334378689528e+01
170	17.126333	-2.8000924296445515e+07	7.4851018380373716e+01
171	17.167116	-2.8001627246307362e+07	-7.0294986184686422e+02
172	17.196755	-2.8001506150477547e+07	1.2109582981467247e+02
173	17.045543	-2.8001409844327413e+07	9.6306150134652853e+01
174	17.109248	-2.8001315239050366e+07	9.4605277046561241e+01
175	17.147455	-2.8001222012102202e+07	9.3226948164403439e+01
176	17.142959	-2.8001135858366933e+07	8.6153735268861055e+01
177	17.172016	-2.8001129848273218e+07	6.0100937150418758e+00
178	17.142071	-2.8001026644304667e+07	1.0320396855100989e+02
179	17.215863	-2.8001076464198668e+07	-4.9819894000887871e+01
180	17.151790	-2.8001005588916272e+07	7.0875282395631075e+01
181	17.242657	-2.8000902124116033e+07	1.0346480023860931e+02
182	17.075231	-2.8000871936362520e+07	3.0187753513455391e+01
183	17.113074	-2.8000803644558791e+07	6.8291803728789091e+01
184	17.117444	-2.8000752532287393e+07	5.1112271398305893e+01
185	17.231345	-2.8000884465092778e+07	-1.3193280538544059e+02
186	17.057143	-2.8001004743651643e+07	-1.2027855886518955e+02
187	17.128710	-2.8001023004845209e+07	-1.8261193566024303e+01
188	17.218399	-2.8000959873452820e+07	6.3131392389535904e+01
189	17.134063	-2.8000973970120877e+07	-1.4096668057143688e+01
190	17.081368	-2.8000958159152430e+07	1.5810968447476625e+01
191	17.009497	-2.8000903644587088e+07	5.4514565341174603e+01
192	17.130139	-2.8000855150897615e+07	4.8493689473718405e+01
193	17.051129	-2.8000866332685225e+07	-1.1181787610054016e+01
194	17.129403	-2.8000931958551072e+07	-6.5625865846872330e+01
195	17.295776	-2.8000877119158298e+07	5.4839392773807049e+01
196	17.018270	-2.8000823255637497e+07	5.3863520801067352e+01
197	17.208515	-2.8000769463407282e+07	5.3792230214923620e+01
198	17.122553	-2.8000869190359116e+07	-9.9726951833814383e+01
199	17.169251	-2.8000814404802687e+07	5.4785556428134441e+01
200	17.190405	-2.8000927960391842e+07	-1.1355558915436268e+02
201	17.024963	-2.8000904268897325e+07	2.3691494517028332e+01
202	17.028125	-2.8000854492860135e+07	4.9776037190109491e+01
203	17.109314	-2.8000884321515456e+07	-2.9828655321151018e+01
204	17.020639	-2.8000840476972029e+07	4.3844543427228928e+01
205	17.148796	-2.8000800850710526e+07	3.9626261502504349e+01
206	17.053071	-2.8000762396805339e+07	3.8453905187547207e+01
207	17.029387	-2.8001035719768539e+07	-2.7332296320050955e+02
208	17.099217	-2.8000971802054387e+07	6.3917714152485132e+01
209	17.066543	-2.8001081729963224e+07	-1.0992790883779526e+02
210	17.209027	-2.8001012115358666e+07	6.9614604558795691e+01
211	17.054639	-2.8000951923367098e+07	6.0191991567611694e+01
212	17.082930	-2.8000966124747336e+07	-1.4201380237936974e+01
213	17.056364	-2.8000983467005439e+07	-1.7342258103191853e+01
214	16.959045	-2.8000926695237782e+07	5.6771767657250166e+01
215	17.034500	-2.8001119181117043e+07	-1.9248587926104665e+02
216	16.938665	-2.8001053751667943e+07	6.5429449100047350e+01
217	17.051479	-2.8001003415351693e+07	5.0336316250264645e+01
218	16.935769	-2.8000949925602790e+07	5.3489748902618885e+01
219	17.065982	-2.8000969873290040e+07	-1.9947687249630690e+01
220	16.974570	-2.8000911979148824e+07	5.7894141215831041e+01
221	16.949851	-2.8001108908618599e+07	-1.9692946977540851e+02
222	16.955901	-2.8001030453373447e+07	7.8455245152115822e+01
223	17.055428	-2.8001020913043000e+07	9.5403304472565651e+00
224	16.990655	-2.8001110161011089e+07	-8.9247968088835478e+01
225	17.049358	-2.8001037852441043e+07	7.2308570045977831e+01
226	16.959316	-2.8000968877733644e+07	6.8974707398563623e+01
227	16.995932	-2.8000905648639034e+07	6.3229094609618187e+01
228	16.950078	-2.8001055924446363e+07	-1.5027580732852221e+02
229	16.974113	-2.8000984549577832e+07	7.1374868530780077e+01
230	16.951104	-2.8001025606814887e+07	-4.1057237055152655e+01
231	16.878110	-2.8000963049741399e+07	6.2557073488831520e+01
232	16.951862	-2.8001134370380994e+07	-1.7132063959538937e+02
233	17.028102	-2.8001053674826246e+07	8.0695554748177528e+01
234	17.021043	-2.8000990556299161e+07	6.3118527084589005e+01
235	16.915158	-2.8000927188881047e+07	6.3367418114095926e+01
236	16.953980	-2.8000869285606183e+07	5.7903274863958359e+01
237	16.974759	-2.8000983673635356e+07	-1.1438802917301655e+02
238	16.898784	-2.8000925897220165e+07	5.7776415191590786e+01
239	16.991203	-2.8000949092885971e+07	-2.3195665806531906e+01
240	16.911998	-2.8000981099300571e+07	-3.2006414599716663e+01
241	17.081232	-2.8000924100991786e+07	5.6998308785259724e+01
242	16.949592	-2.8000937076426074e+07	-1.2975434288382530e+01
243	17.007582	-2.8001179978110932e+07	-2.4290168485790491e+02
244	16.949975	-2.8001097190643769e+07	8.2787467163056135e+01
245	17.010353	-2.8001073563957464e+07	2.3626686304807663e+01
246	16.950973	-2.8001084486305304e+07	-1.0922347839921713e+01
247	16.961733	-2.8001172309860811e+07	-8.7823555506765842e+01
248	16.848861	-2.8001103344374441e+07	6.8965486370027065e+01
249	17.052440	-2.8001273335898921e+07	-1.6999152448028326e+02
250	16.987729	-2.8001179804637831e+07	9.3531261090189219e+01
251	17.001785	-2.8001101123612985e+07	7.8681024845689535e+01
252	16.927553	-2.8001023922399577e+07	7.7201213408261538e+01
253	17.191638	-2.8000999330295395e+07	2.4592104181647301e+01
254	17.171649	-2.8000915020021468e+07	8.4310273926705122e+01
255	17.046588	-2.8000849975507915e+07	6.5044513553380966e+01
256	16.954506	-2.8000793391912498e+07	5.6583595417439938e+01
257	17.016510	-2.8001181670327287e+07	-3.8827841478958726e+02
258	17.001977	-2.8001098770391580e+07	8.2899935707449913e+01
259	16.845843	-2.8001024839108717e+07	7.3931282863020897e+01
260	16.821620	-2.8000988484110177e+07	3.6354998540133238e+01
261	16.892704	-2.8000915500987161e+07	7.2983123015612364e+01
262	16.796011	-2.8001057473435760e+07	-1.4197244859859347e+02
263	16.874857	-2.8000982769291677e+07	7.4704144082963467e+01
264	16.914882	-2.8000986627447546e+07	-3.8581558689475060e+00
265	17.034644	-2.8000929892565392e+07	5.6734882153570652e+01
266	17.096230	-2.8000882951567054e+07	4.6940998338162899e+01
267	17.037542	-2.8000885251931310e+07	-2.3003642559051514e+00
268	17.148956	-2.8000921820816595e+07	-3.6568885285407305e+01
269	17.002579	-2.8000850243858263e+07	7.1576958332210779e+01
270	17.042299	-2.8000824019212145e+07	2.6224646117538214e+01
271	17.175446	-2.8001249385913044e+07	-4.2536670089885592e+02
272	16.933684	-2.8001157399361871e+07	9.1986551173031330e+01
273	17.021147	-2.8001080982384235e+07	7.6416977636516094e+01
274	16.961210	-2.8001186995323021e+07	-1.0601293878629804e+02
275	17.105837	-2.8001266659301654e+07	-7.9663978632539511e+01
276	17.027474	-2.8001183441515137e+07	8.3217786516994238e+01
277	17.127407	-2.8001109829475053e+07	7.3612040083855391e+01
278	16.882885	-2.8001040234022200e+07	6.9595452852547169e+01
279	17.188800	-2.8001195565102417e+07	-1.5533108021691442e+02
280	17.096170	-2.8001103285938621e+07	9.2279163796454668e+01
281	17.010128	-2.8001023804056738e+07	7.9481881882995367e+01
282	16.834572	-2.8000942046433061e+07	8.1757623676210642e+01
283	16.949347	-2.8000874139360942e+07	6.7907072119414806e+01
284	16.780905	-2.8000862805676479e+07	1.1333684463053942e+01
285	16.889898	-2.8000916280298732e+07	-5.3474622253328562e+01
286	16.849094	-2.8000953911770083e+07	-3.7631471350789070e+01
287	16.823033	-2.8000894120792344e+07	5.9790977738797665e+01
288	16.800594	-2.8000835805932187e+07	5.8314860157668591e+01
289	16.831721	-2.8000918306841183e+07	-8.2500908996909857e+01
290	16.750933	-2.8000938839667041e+07	-2.0532825857400894e+01
291	16.831805	-2.8001021940239418e+07	-8.3100572377443314e+01
292	16.872250	-2.8000959305177927e+07	6.2635061491280794e+01
293	16.886213	-2.8000907204259403e+07	5.2100918523967266e+01
294	16.944815	-2.8000917222282290e+07	-1.0018022887408733e+01
295	17.276723	-2.8000866391325377e+07	5.0830956913530827e+01
296	16.901825	-2.8001007230971780e+07	-1.4083964640274644e+02
297	17.310679	-2.8000949849677678e+07	5.7381294101476669e+01
298	16.946147	-2.8000898763708156e+07	5.1085969522595406e+01
299	16.960967	-2.8000847951229334e+07	5.0812478821724653e+01
300	16.798899	-2.8000805025171768e+07	4.2926057565957308e+01
301	17.082990	-2.8000978134325355e+07	-1.7310915358737111e+02
302	16.991870	-2.8000914118284013e+07	6.4016041342169046e+01
303	16.858100	-2.8000859608211953e+07	5.4510072059929371e+01
304	16.760958	-2.8000814602591421e+07	4.5005620531737804e+01
305	17.046831	-2.8000778281072471e+07	3.6321518950164318e+01
306	16.781272	-2.8000876781525314e+07	-9.8500452842563391e+01
307	17.022744	-2.8000823605764687e+07	5.3175760626792908e+01
308	17.156121	-2.8001056474951442e+07	-2.3286918675526977e+02
309	17.295405	-2.8000977203357458e+07	7.9271593984216452e+01
310	17.381028	-2.8000920572481483e+07	5.6630875974893570e+01
311	17.317950	-2.8000907457240820e+07	1.3115240663290024e+01
312	17.110696	-2.8000852025936935e+07	5.5431303884834051e+01
313	17.279482	-2.8000966049631041e+07	-1.1402369410544634e+02
314	16.999586	-2.8001116309696183e+07	-1.5026006514206529e+02
315	17.247799	-2.8001041285059381e+07	7.5024636801332235e+01
316	16.995392	-2.8000974469661999e+07	6.6815397381782532e+01
317	17.222103	-2.8000915215162687e+07	5.9254499312490225e+01
318	17.238906	-2.8000917324302386e+07	-2.1091396994888783e+00
319	17.414354	-2.8000866391469408e+07	5.0932832978665829e+01
320	17.133395	-2.8000902167182025e+07	-3.5775712616741657e+01
321	17.413881	-2.8000914935183764e+07	-1.2768001738935709e+01
322	17.130017	-2.8000954314872824e+07	-3.9379689060151577e+01
323	17.499188	-2.8000897672604743e+07	5.6642268080264330e+01
324	17.112499	-2.8001001925903294e+07	-1.0425329855084419e+02
325	17.410135	-2.8000922969929434e+07	7.8955973859876394e+01
326	17.033802	-2.8001031391158573e+07	-1.0842122913897038e+02
327	17.421105	-2.8000950360335249e+07	8.1030823323875666e+01
328	17.169266	-2.8000891961954515e+07	5.8398380734026432e+01
329	17.330672	-2.8000964502588399e+07	-7.2540633883327246e+01
330	17.307899	-2.8000912500339437e+07	5.2002248961478472e+01
331	17.461364	-2.8000864492934246e+07	4.8007405191659927e+01
332	17.123626	-2.8000924558797467e+07	-6.0065863221883774e+01
333	17.502234	-2.8000920245338265e+07	4.3134592026472092e+00
334	16.980655	-2.8000865121440377e+07	5.5123897887766361e+01
335	17.291459	-2.8000972001880288e+07	-1.0688043991103768e+02
336	17.163037	-2.8000911384145733e+07	6.0617734555155039e+01
337	17.446137	-2.8000855981907584e+07	5.5402238149195910e+01
338	17.048253	-2.8000817232238695e+07	3.8749668888747692e+01
339	17.462367	-2.8000778125486191e+07	3.9106752503663301e+01
340	17.015676	-2.8001051851842783e+07	-2.7372635659202933e+02
341	17.295038	-2.8000985793623976e+07	6.6058218806982040e+01
342	16.938761	-2.8000968387707923e+07	1.7405916053801775e+01
343	17.366840	-2.8001017392971985e+07	-4.9005264062434435e+01
344	17.243257	-2.8000955466461346e+07	6.1926510639488697e+01
345	17.373750	-2.8000897249766700e+07	5.8216694645583630e+01
346	17.184356	-2.8000927010120407e+07	-2.9760353706777096e+01
347	17.331527	-2.8000954337107521e+07	-2.7326987113803625e+01
348	16.954860	-2.8001243083601374e+07	-2.8874649385362864e+02
349	17.187633	-2.8001163945828490e+07	7.9137772884219885e+01
350	16.893804	-2.8001096463866346e+07	6.7481962144374847e+01
351	17.213138	-2.8001148932041656e+07	-5.2468175310641527e+01
352	16.968163	-2.8001076158738725e+07	7.2773302931338549e+01
353	17.267649	-2.8001095231165841e+07	-1.9072427116334438e+01
354	17.080364	-2.8001030793782804e+07	6.4437383037060499e+01
355	17.379126	-2.8000970070975393e+07	6.0722807411104441e+01
