iter	duration	delta-lle	log-likelihood
1	0.028510	0.0000000000000000e+00	3.3630088932252314e+04
2	0.013047	6.8314742949043808e+04	1.0194483188129612e+05
3	0.012894	1.6092731474169996e+04	1.1803756335546612e+05
4	0.012872	0.0000000000000000e+00	1.1803756335546612e+05
5	0.013011	1.6598972877604538e+03	1.1969746064322657e+05
6	0.012791	0.0000000000000000e+00	1.1969746064322657e+05
7	0.012784	6.4823532405443257e+02	1.2034569596728100e+05
8	0.012797	1.0905055312543351e+04	1.3125075127982436e+05
9	0.012787	2.0398899330706918e+03	1.3329064121289505e+05
10	0.012840	0.0000000000000000e+00	1.3329064121289505e+05
11	0.012886	0.0000000000000000e+00	1.3329064121289505e+05
12	0.012802	0.0000000000000000e+00	1.3329064121289505e+05
13	0.012791	4.4833776661893353e+02	1.3373897897951398e+05
14	0.012791	1.1501015539887012e+03	1.3488908053350268e+05
15	0.012875	0.0000000000000000e+00	1.3488908053350268e+05
16	0.012834	0.0000000000000000e+00	1.3488908053350268e+05
17	0.012848	6.3651798091980163e+02	1.3552559851442248e+05
18	0.012784	3.2340518137668842e+03	1.3875965032818937e+05
19	0.012777	1.6807784561546869e+03	1.4044042878434405e+05
20	0.012780	2.2140377200659132e+03	1.4265446650440997e+05
21	0.013016	6.8081629728805274e+02	1.4333528280169802e+05
22	0.012785	1.2853325749887154e+02	1.4346381605919689e+05
23	0.012787	1.6852904367550509e+03	1.4514910649595194e+05
24	0.012810	5.9249763641273603e+02	1.4574160413236468e+05
25	0.014907	1.8099206646435196e+03	1.4755152479700820e+05
26	0.017077	4.5020362101553474e+01	1.4759654515910975e+05
27	0.017106	3.1930433086014818e+02	1.4791584948996990e+05
28	0.017055	1.1171303014319274e+03	1.4903297979140183e+05
29	0.017046	6.4301666923548328e+02	1.4967599646063731e+05
30	0.017090	7.0926211398531450e+02	1.5038525857462263e+05
31	0.002138	0.0000000000000000e+00	1.5038525857462263e+05
32	0.021463	8.1843634606100386e+02	1.5120369492068363e+05
33	0.021339	4.1141043168287142e+03	1.5531779923751234e+05
34	0.021286	6.2959665614279220e+02	1.5594739589365514e+05
