iter	duration	delta-lle	log-likelihood
1	0.100428	0.0000000000000000e+00	1.0944054657194516e+04
2	0.001666	0.0000000000000000e+00	1.0944054657194516e+04
3	0.001554	0.0000000000000000e+00	1.0944054657194516e+04
4	0.001552	0.0000000000000000e+00	1.0944054657194516e+04
5	0.001562	0.0000000000000000e+00	1.0944054657194516e+04
6	0.001549	0.0000000000000000e+00	1.0944054657194516e+04
7	0.003093	0.0000000000000000e+00	1.0944054657194516e+04
8	0.001548	2.1348616576968489e+03	1.3078916314891365e+04
9	0.002934	0.0000000000000000e+00	1.3078916314891365e+04
10	0.002926	1.9829016782542894e+03	1.5061817993145654e+04
11	0.002927	1.8803077066972037e+02	1.5249848763815375e+04
12	0.002827	0.0000000000000000e+00	1.5249848763815375e+04
13	0.002768	8.6113852644120925e+02	1.6110987290256584e+04
14	0.002768	0.0000000000000000e+00	1.6110987290256584e+04
15	0.002774	0.0000000000000000e+00	1.6110987290256584e+04
16	0.002670	0.0000000000000000e+00	1.6110987290256584e+04
17	0.002630	7.8641245224978775e+01	1.6189628535481563e+04
18	0.002641	6.2552373505313881e+01	1.6252180908986877e+04
19	0.002636	3.2301854084929801e+01	1.6284482763071806e+04
20	0.002562	2.9627247147422167e+01	1.6314110010219229e+04
21	0.002516	0.0000000000000000e+00	1.6314110010219229e+04
22	0.001256	0.0000000000000000e+00	1.6314110010219229e+04
23	0.002510	2.0863996791347745e+01	1.6334974007010576e+04
24	0.002503	6.3516052400227636e+00	1.6341325612250599e+04
25	0.002429	1.8379225367389154e+00	1.6343163534787338e+04
26	0.002396	3.7827433525380911e+00	1.6346946278139876e+04
27	0.002387	1.3506611593475100e+00	1.6348296939299224e+04
28	0.002397	2.9346446869021747e+00	1.6351231583986126e+04
29	0.002378	0.0000000000000000e+00	1.6351231583986126e+04
30	0.002285	2.1758795973873930e+00	1.6353407463583513e+04
31	0.002291	0.0000000000000000e+00	1.6353407463583513e+04
32	0.001147	0.0000000000000000e+00	1.6353407463583513e+04
33	0.002284	3.4200540817982983e-01	1.6353749468991693e+04
34	0.002280	0.0000000000000000e+00	1.6353749468991693e+04
35	0.002198	2.2574844503833447e-01	1.6353975217436731e+04
36	0.002192	4.4935496024845634e-01	1.6354424572396980e+04
37	0.001096	0.0000000000000000e+00	1.6354424572396980e+04
38	0.002191	0.0000000000000000e+00	1.6354424572396980e+04
39	0.002190	9.4026862745522521e-02	1.6354518599259725e+04
40	0.002126	1.0033000670955516e-01	1.6354618929266435e+04
41	0.002101	5.1848976261680946e-02	1.6354670778242697e+04
