seed: 1450159117

iter	duration	log_likelihood	delta-lle
0	2.929919	-4.4657541490555502e+07
1	9.752750	-3.9356121611551315e+07	5.3014198790041879e+06
2	10.241906	-3.5861386875875078e+07	3.4947347356762365e+06
3	10.127697	-3.4496105656635471e+07	1.3652812192396075e+06
4	9.926065	-3.3838356049402907e+07	6.5774960723256320e+05
5	9.861681	-3.3251633002849702e+07	5.8672304655320570e+05
6	10.082228	-3.2694980379755765e+07	5.5665262309393659e+05
7	9.955385	-3.2148527647541314e+07	5.4645273221445084e+05
8	9.959945	-3.1586885531520661e+07	5.6164211602065340e+05
9	9.788029	-3.1034697110214598e+07	5.5218842130606249e+05
10	9.842577	-3.0494778637291938e+07	5.3991847292266041e+05
11	9.829818	-2.9984937819657709e+07	5.0984081763422862e+05
12	10.015656	-2.9519552146980826e+07	4.6538567267688364e+05
13	9.994757	-2.9119715421481367e+07	3.9983672549945861e+05
14	10.053589	-2.8806914948591989e+07	3.1280047288937867e+05
15	10.012203	-2.8589854275154315e+07	2.1706067343767360e+05
16	9.990305	-2.8467331832280513e+07	1.2252244287380204e+05
17	9.822923	-2.8420727949908480e+07	4.6603882372032851e+04
18	10.006858	-2.8409158019916933e+07	1.1569929991547018e+04
19	9.922450	-2.8405947400613938e+07	3.2106193029955029e+03
20	9.979963	-2.8404411461488612e+07	1.5359391253255308e+03
21	9.892845	-2.8403606454446420e+07	8.0500704219192266e+02
22	9.918627	-2.8403195742145590e+07	4.1071230082958937e+02
23	9.812134	-2.8402986524289560e+07	2.0921785603091121e+02
24	9.954908	-2.8402892092404116e+07	9.4431885443627834e+01
25	9.906802	-2.8402849848348882e+07	4.2244055233895779e+01
26	9.938310	-2.8402829388405386e+07	2.0459943495690823e+01
27	9.912575	-2.8402818282145590e+07	1.1106259796768427e+01
28	9.880829	-2.8402812558520090e+07	5.7236254997551441e+00
29	9.803201	-2.8402810268792298e+07	2.2897277921438217e+00
30	9.965508	-2.8402809658171970e+07	6.1062032729387283e-01
31	9.825175	-2.8402809461199578e+07	1.9697239249944687e-01
32	9.919858	-2.8402809376805667e+07	8.4393911063671112e-02
33	9.876098	-2.8402809340103488e+07	3.6702178418636322e-02
34	9.857499	-2.8402809323986016e+07	1.6117472201585770e-02
35	9.778590	-2.8402809316878010e+07	7.1080066263675690e-03
36	9.879056	-2.8402809313716106e+07	3.1619034707546234e-03
37	9.850470	-2.8402809312312189e+07	1.4039166271686554e-03
38	9.857956	-2.8402809311678633e+07	6.3355639576911926e-04
39	9.809159	-2.8402809311393030e+07	2.8560310602188110e-04
40	9.870456	-2.8402809311261054e+07	1.3197585940361023e-04
41	9.733862	-2.8402809311207604e+07	5.3450465202331543e-05
42	9.864048	-2.8402809311177902e+07	2.9701739549636841e-05
43	9.811153	-2.8402809311156981e+07	2.0921230316162109e-05
44	9.840109	-2.8402809311150346e+07	6.6347420215606689e-06
45	9.768216	-2.8402809311143659e+07	6.6868960857391357e-06
46	9.827970	-2.8402809311148390e+07	-4.7311186790466309e-06
47	9.751941	-2.8402809311140247e+07	8.1434845924377441e-06
48	9.761510	-2.8402809311137434e+07	2.8125941753387451e-06
49	9.810760	-2.8402809311150815e+07	-1.3381242752075195e-05
50	9.843165	-2.8402809311148006e+07	2.8088688850402832e-06
51	9.752791	-2.8402809311137117e+07	1.0889023542404175e-05
52	9.843084	-2.8402809311134897e+07	2.2202730178833008e-06
53	9.785164	-2.8402809311142519e+07	-7.6219439506530762e-06
54	9.759204	-2.8402809311138216e+07	4.3027102947235107e-06
55	9.816256	-2.8402809311143428e+07	-5.2116811275482178e-06
56	9.861691	-2.8402809311136734e+07	6.6943466663360596e-06
57	9.831489	-2.8402809311138608e+07	-1.8738210201263428e-06
58	9.828245	-2.8402809311143093e+07	-4.4852495193481445e-06
59	9.792220	-2.8402809311138969e+07	4.1238963603973389e-06
60	9.838385	-2.8402809311141264e+07	-2.2947788238525391e-06
61	9.934185	-2.8402809311146323e+07	-5.0589442253112793e-06
62	9.933880	-2.8402809311148759e+07	-2.4363398551940918e-06
63	9.803441	-2.8402809311146989e+07	1.7695128917694092e-06
64	9.815032	-2.8402809311149444e+07	-2.4549663066864014e-06
65	9.815462	-2.8402809311147582e+07	1.8626451492309570e-06
66	9.847818	-2.8402809311145648e+07	1.9334256649017334e-06
67	9.943508	-2.8402809311146636e+07	-9.8720192909240723e-07
68	9.990753	-2.8402809311146524e+07	1.1175870895385742e-07
69	9.955336	-2.8402809311147168e+07	-6.4447522163391113e-07
70	10.001007	-2.8402809311146293e+07	8.7544322013854980e-07
71	9.875952	-2.8402809311145883e+07	4.0978193283081055e-07
72	9.857564	-2.8402809311146293e+07	-4.0978193283081055e-07
73	9.917033	-2.8402809311146680e+07	-3.8743019104003906e-07
74	9.964118	-2.8402809311146840e+07	-1.6018748283386230e-07
75	9.882788	-2.8402809311146982e+07	-1.4156103134155273e-07
76	9.959529	-2.8402809311147172e+07	-1.8998980522155762e-07
77	9.848718	-2.8402809311147325e+07	-1.5273690223693848e-07
78	9.813416	-2.8402809311147310e+07	1.4901161193847656e-08
79	9.910394	-2.8402809311147299e+07	1.1175870895385742e-08
80	9.950645	-2.8402809311147343e+07	-4.4703483581542969e-08
81	9.900700	-2.8402809311147381e+07	-3.7252902984619141e-08
82	9.892670	-2.8402809311147392e+07	-1.1175870895385742e-08
83	9.849996	-2.8402809311147422e+07	-2.9802322387695312e-08
84	9.830143	-2.8402809311147381e+07	4.0978193283081055e-08
85	9.855905	-2.8402809311147407e+07	-2.6077032089233398e-08
86	9.907597	-2.8402809311147399e+07	7.4505805969238281e-09
87	9.817855	-2.8402809311147407e+07	-7.4505805969238281e-09
88	9.909030	-2.8402809311147392e+07	1.4901161193847656e-08
89	9.807499	-2.8402809311147407e+07	-1.4901161193847656e-08
90	9.820954	-2.8402809311147399e+07	7.4505805969238281e-09
91	9.837707	-2.8402809311147388e+07	1.1175870895385742e-08
92	9.842571	-2.8402809311147388e+07	0.0000000000000000e+00
93	9.819612	-2.8402809311147388e+07	0.0000000000000000e+00
94	9.852288	-2.8402809311147392e+07	-3.7252902984619141e-09
95	9.722038	-2.8402809311147388e+07	3.7252902984619141e-09
96	9.792415	-2.8402809311147384e+07	3.7252902984619141e-09
97	9.810588	-2.8402809311147388e+07	-3.7252902984619141e-09
98	9.801141	-2.8402809311147381e+07	7.4505805969238281e-09
99	9.784986	-2.8402809311147384e+07	-3.7252902984619141e-09
100	9.820006	-2.8402809311147384e+07	0.0000000000000000e+00
101	9.839041	-2.8402809311147381e+07	3.7252902984619141e-09
102	9.772728	-2.8402809311147392e+07	-1.1175870895385742e-08
103	9.723067	-2.8402809311147392e+07	0.0000000000000000e+00
104	9.857516	-2.8402809311147392e+07	0.0000000000000000e+00
105	9.765375	-2.8402809311147384e+07	7.4505805969238281e-09
106	9.818214	-2.8402809311147388e+07	-3.7252902984619141e-09
107	9.809651	-2.8402809311147392e+07	-3.7252902984619141e-09
108	9.823969	-2.8402809311147392e+07	0.0000000000000000e+00
109	9.760330	-2.8402809311147388e+07	3.7252902984619141e-09
110	9.936846	-2.8402809311147381e+07	7.4505805969238281e-09
111	9.912325	-2.8402809311147396e+07	-1.4901161193847656e-08
112	9.796901	-2.8402809311147396e+07	0.0000000000000000e+00
113	9.782703	-2.8402809311147384e+07	1.1175870895385742e-08
114	9.784162	-2.8402809311147399e+07	-1.4901161193847656e-08
115	9.820595	-2.8402809311147399e+07	0.0000000000000000e+00
116	10.006238	-2.8402809311147396e+07	3.7252902984619141e-09
117	9.953518	-2.8402809311147388e+07	7.4505805969238281e-09
118	9.967097	-2.8402809311147392e+07	-3.7252902984619141e-09
119	9.955101	-2.8402809311147388e+07	3.7252902984619141e-09
120	9.933942	-2.8402809311147396e+07	-7.4505805969238281e-09
121	9.818664	-2.8402809311147384e+07	1.1175870895385742e-08
122	10.013359	-2.8402809311147392e+07	-7.4505805969238281e-09
123	9.891964	-2.8402809311147381e+07	1.1175870895385742e-08
